id,long.dorsal,long.ventral,long.hypo,sum.long,short.dorsal,short.joint,short.ventral,short.sum,plate.count,dorsal.spine1,dorsal.spine2
CP7,5,12,2,19,2,1,11,14,31,0.49,0.52
CP9,6,12,2,20,2,1,12,15,31,0.6,0.62
CP14,6,11,2,19,2,1,11,14,32,0.5,0.5
CP15,5,13,2,20,1,2,12,15,32,0.48,0.63
CP16,6,11,2,19,2,1,12,15,32,0.53,0.6
CP17,6,13,2,21,1,2,12,15,32,0.59,0.6
CP18,7,14,3,24,2,1,13,16,31,0.46,0.57
CP27,6,13,2,21,2,1,11,14,30,0.47,0.57
CP29,7,12,2,21,2,1,13,16,31,0.6,0.65
CP33,7,13,2,22,1,1,12,14,32,0,0
CP40,7,12,3,22,2,1,12,15,30,0.5,0.54
CP50,5,12,2,19,2,1,12,15,31,0,0.58
CP53,7,12,3,22,1,2,12,15,31,0.66,0.7
CP54,7,11,2,20,1,1,12,14,32,0.57,0.6
CP25,6,10,2,18,2,1,12,15,32,0.52,0.61
CP20,6,12,2,20,2,1,13,16,33,0.6,0.66
CP32,8,12,3,23,2,1,13,16,32,0,0.61
CP39,6,12,2,20,2,1,12,15,30,0,0
CP49,7,13,3,23,2,1,15,18,32,0.58,0.62
CP26,6,11,3,20,2,1,12,15,33,0.42,0
SR23,7,13,2,22,3,1,12,16,32,0.44,0.46
SR20,6,12,2,20,2,1,12,15,30,0.43,0.44
SR18,8,12,3,23,2,1,14,17,32,0.47,0.47
SR16,7,13,3,23,1,2,13,16,31,0.38,0.43
SR13,6,12,2,20,2,1,13,16,29,0.52,0.53
SR25,6,12,2,20,1,1,14,16,31,0.37,0.44
SR33,6,12,2,20,2,1,13,16,30,0.45,0.51
SR34,6,12,2,20,2,2,11,15,31,0.56,0.57
SR37,6,13,2,21,2,1,14,17,30,0.49,0.57
SR41,7,13,2,22,2,2,14,18,32,0.46,0.51
SR42,7,12,2,21,1,2,11,14,30,0.54,0.56
SR45,5,12,1,18,2,1,12,15,31,0.4,0.44
SR48,5,13,2,20,2,1,13,16,31,0.48,0.5
SR56,6,13,1,20,1,1,13,15,31,0.54,0.6
SR17,6,12,2,20,2,1,14,17,32,0.58,0.59
SR36,6,12,2,20,1,2,12,15,32,0.4,0.41
SR43,7,12,3,22,2,1,13,16,31,0,0.46
SR27,7,13,2,22,2,1,13,16,30,0.57,0.66
SR11,6,13,2,21,2,2,13,17,30,0.44,0.44
SR19,6,12,3,21,1,1,13,15,31,0.43,0.5
PP19,6,12,3,21,2,1,12,15,31,0.49,0.54
PP21a,6,12,1,19,1,2,12,15,31,0,0.46
PP27,6,14,3,23,1,3,13,17,32,0.48,0.49
PP28,6,12,2,20,1,1,13,15,33,0.4,0.45
PP32,6,13,3,22,2,1,12,15,31,0.43,0.46
PP34,7,11,3,21,1,2,12,15,32,0.34,0.39
PP36,7,11,3,21,1,2,12,15,31,0.4,0.41
PP37,5,12,2,19,2,1,12,15,30,0,0.49
PP41,7,12,2,21,1,2,12,15,34,0.34,0.51
PP42,6,12,2,20,1,1,12,14,29,0.44,0.29
PP43,6,13,3,22,2,1,13,16,30,0.45,0.49
PP44,5,12,2,19,1,2,13,16,30,0.47,0.46
PP46,5,11,2,18,2,2,11,15,31,0.46,0.5
PP47,7,13,3,23,2,1,12,15,30,0.4,0.47
PP50,7,12,2,21,2,2,12,16,32,0.47,0.51
PP24,7,12,3,22,1,2,13,16,31,0,0.51
PP25,8,12,3,23,1,2,12,15,31,0.43,0.48
PP33,7,12,2,21,1,2,12,15,31,0.6,0.57
PP35,6,12,2,20,1,2,13,16,31,0.45,0.51
PP29,5,12,2,19,1,1,13,15,30,0.42,0.46
SF15,6,12,3,21,2,1,12,15,29,0.34,0.34
SF21,6,12,1,19,1,2,11,14,32,0.46,0.47
SF22,7,11,3,21,2,1,12,15,33,0.46,0.5
SF23,6,11,3,20,1,1,13,15,32,0.45,0.42
SF25,6,12,3,21,1,1,13,15,31,0,0
SF31,5,12,2,19,1,2,12,15,32,0.43,0.49
SF35,7,13,3,23,2,2,13,17,32,0.56,0.58
SF38,6,12,2,20,1,2,13,16,30,0.48,0.56
SF39,5,12,2,19,2,1,12,15,32,0.48,0.54
SF41,7,13,2,22,2,1,12,15,31,0.51,0.55
SF42,6,14,2,22,2,1,13,16,30,0.45,0.45
SF43,5,12,1,18,1,1,11,13,30,0.58,0.58
SF44,6,14,3,23,2,2,12,16,30,0.54,0.61
SF45,7,13,2,22,2,1,13,16,31,0.46,0.55
SF50,6,13,2,21,1,1,13,15,29,0.51,0.5
SF52,6,12,3,21,2,2,10,14,32,0.44,0.43
SF53,7,13,2,22,0,2,12,14,31,0.39,0.38
SF54,8,14,2,24,2,1,13,16,34,0.47,0.55
SF40,6,11,2,19,1,1,12,14,32,0.45,0.5
SF48,7,12,1,20,2,1,13,16,30,0,0.46
WR1,6,12,2,20,2,1,11,14,31,0.59,0.61
WR2,4,12,2,18,2,2,12,16,32,0.48,0.5
WR3,6,13,2,21,2,1,13,16,31,0,0.44
WR4,8,13,2,23,2,1,13,16,29,0.57,0.61
WR7,6,12,2,20,2,1,12,15,31,0.57,0.57
WR12,7,12,2,21,2,1,13,16,32,0.67,0.66
WR17,6,12,2,20,1,1,13,15,32,0.5,0.41
WR18,5,13,2,20,2,2,12,16,31,0.47,0.52
WR20,7,12,2,21,2,1,12,15,30,0.6,0.58
WR21,5,12,1,18,1,1,14,16,32,0,0.47
WR22,6,12,3,21,2,1,13,16,33,0,0.62
WR23,7,13,1,21,2,1,13,16,32,0,0
WR24,6,11,1,18,1,1,10,12,32,0.57,0.58
WR25,7,13,2,22,1,1,12,14,32,0.61,0
WR58,7,13,2,22,1,1,13,15,32,0.55,0.57
WR36,6,12,3,21,2,1,12,15,32,0,0
WR50,6,12,2,20,2,1,12,15,32,0.63,0.63
WR51,5,13,2,20,1,1,13,15,31,0.58,0.6
WR53,5,13,1,19,1,1,10,12,30,0.62,0.64
WR54,6,12,2,20,2,1,12,15,31,0.49,0.48
PQ1,6,12,1,19,2,1,13,16,30,0.48,0.51
PQ2,5,12,1,18,1,1,11,13,30,0.56,0.53
