id,std.length
AL1,3.382939409
AL10,2.636049784
AL11,3.126585184
AL12,3.514963936
AL13,2.480774698
AL14,3.339370385
AL15,3.311801256
AL16,3.83865653
AL17,3.863338113
AL18,2.412489074
AL2,3.319146797
AL3,3.981021579
AL4,3.217743142
AL5,3.823495155
AL6,3.330264022
AL7,3.470029731
AL8,3.068686084
AL9,3.409849144
CP14,3.649085079
CP15,4.496059558
CP16,3.279893987
CP17,3.541477531
CP18,3.384238487
CP20,4.249099099
CP25,4.483150004
CP26,3.57828302
CP27,3.54425187
CP29,4.047575858
CP32,4.170259245
CP33,4.080961551
CP39,3.705300735
CP40,3.62436707
CP49,3.378870002
CP50,3.470695963
CP53,4.37904616
CP54,3.735965848
CP7,3.955644406
CP9,3.865711904
PP19,3.318199649
PPA21,3.294012665
PP24,3.381351447
PP25,2.925691523
PP27,3.130549492
PP28,3.068315224
PP29,2.960060884
PP32,2.819387612
PP33,3.792057621
PP34,2.887824673
PP35,3.013213485
PP36,2.833281394
PP37,3.011704357
PP41,3.320283728
PP42,2.997753096
PP43,3.18079313
PP44,3.043501823
PP46,3.108652517
PP47,3.508546098
PP50,3.277311139
PQ1,3.622641381
PQ10,3.88957152
PQ11,4.095317796
PQ12,3.685268405
PQ13,3.994262536
PQ14,3.730966313
PQ15,3.513526291
PQ16,3.992058148
PQ17,3.926747106
PQ18,4.014915117
PQ19,3.539741433
PQ2,3.590401383
PQ3,3.50481124
PQ4,3.775209706
PQ5,3.722003196
PQ6,3.684093881
PQ7,3.540483634
PQ8,3.665777586
PQ9,3.97311619
SF15,2.978656035
SF21,3.102942826
SF22,3.202074181
SF23,3.196836334
SF25,3.756711389
SF31,3.14244464
SF35,3.506524388
SF38,3.89471899
SF39,3.691826511
SF40,3.578660861
SF41,3.613833333
SF42,2.98975971
SF43,3.955959944
SF44,3.636967552
SF45,3.569797408
SF48,2.904252584
SF50,3.221559554
SF52,3.446230373
SF53,2.736592074
SF54,3.665662154
SR11,3.228413793
SR13,3.095508458
SR16,3.016797095
SR17,3.65902897
SR18,3.016746967
SR19,3.641289787
SR20,3.075360587
SR23,3.162342787
SR25,3.12633061
SR27,3.841189527
SR33,3.739444462
SR34,3.595178341
SR36,3.136664184
SR37,3.595687821
SR41,3.000574923
SR42,3.439059296
SR43,2.988133454
SR45,3.007555219
SR48,3.151555237
SR56,3.775498069
WR1,3.811752043
WR12,4.164965424
WR17,3.22149697
WR18,3.849632862
WR2,3.686354308
WR20,3.986211007
WR21,3.887161681
WR22,3.687410414
WR23,3.970854329
WR24,3.734940521
WR25,3.943245182
WR3,3.367311821
WR36,4.430337111
WR4,3.560142114
WR50,4.473149972
WR51,3.59436556
WR53,4.035068853
WR54,3.891860599
WR58,3.988503659
WR7,3.604997324
