FISH,Long Dorsal,Long Ventral,Long Hypo,Sum Long,Short Dorsal,Short Joint,Short Ventral,Sum Short
CP7,5,12,2,19,2,1,11,14
CP9,6,12,2,20,2,1,12,15
CP14,6,11,2,19,2,1,11,14
CP15,5,13,2,20,1,2,12,15
CP16,6,11,2,19,2,1,12,15
CP17,6,13,2,21,1,2,12,15
CP18,7,14,3,24,2,1,13,16
CP27,6,13,2,21,2,1,11,14
CP29,7,12,2,21,2,1,13,16
CP33,7,13,2,22,1,1,12,14
CP40,7,12,3,22,2,1,12,15
CP50,5,12,2,19,2,1,12,15
CP53,7,12,3,22,1,2,12,15
CP54,7,11,2,20,1,1,12,14
CP25,6,10,2,18,2,1,12,15
CP20,6,12,2,20,2,1,13,16
CP32,8,12,3,23,2,1,13,16
CP39,6,12,2,20,2,1,12,15
CP49,7,13,3,23,2,1,15,18
CP26,6,11,3,20,2,1,12,15
SR23,7,13,2,22,3,1,12,16
SR20,6,12,2,20,2,1,12,15
SR18,8,12,3,23,2,1,14,17
SR16,7,13,3,23,1,2,13,16
SR13,6,12,2,20,2,1,13,16
SR25,6,12,2,20,1,1,14,16
SR33,6,12,2,20,2,1,13,16
SR34,6,12,2,20,2,2,11,15
SR37,6,13,2,21,2,1,14,17
SR41,7,13,2,22,2,2,14,18
SR42,7,12,2,21,1,2,11,14
SR45,5,12,1,18,2,1,12,15
SR48,5,13,2,20,2,1,13,16
SR56,6,13,1,20,1,1,13,15
SR17,6,12,2,20,2,1,14,17
SR36,6,12,2,20,1,2,12,15
SR43,7,12,3,22,2,1,13,16
SR27,7,13,2,22,2,1,13,16
SR11,6,13,2,21,2,2,13,17
SR19,6,12,3,21,1,1,13,15
PP19,6,12,3,21,2,1,12,15
PP21a,6,12,1,19,1,2,12,15
PP27,6,14,3,23,1,3,13,17
PP28,6,12,2,20,1,1,13,15
PP32,6,13,3,22,2,1,12,15
PP34,7,11,3,21,1,2,12,15
PP36,7,11,3,21,1,2,12,15
PP37,5,12,2,19,2,1,12,15
PP41,7,12,2,21,1,2,12,15
PP42,6,12,2,20,1,1,12,14
PP43,6,13,3,22,2,1,13,16
PP44,5,12,2,19,1,2,13,16
PP46,5,11,2,18,2,2,11,15
PP47,7,13,3,23,2,1,12,15
PP50,7,12,2,21,2,2,12,16
PP24,7,12,3,22,1,2,13,16
PP25,8,12,3,23,1,2,12,15
PP33,7,12,2,21,1,2,12,15
PP35,6,12,2,20,1,2,13,16
PP29,5,12,2,19,1,1,13,15
SF15,6,12,3,21,2,1,12,15
SF21,6,12,1,19,1,2,11,14
SF22,7,11,3,21,2,1,12,15
SF23,6,11,3,20,1,1,13,15
SF25,6,12,3,21,1,1,13,15
SF31,5,12,2,19,1,2,12,15
SF35,7,13,3,23,2,2,13,17
SF38,6,12,2,20,1,2,13,16
SF39,5,12,2,19,2,1,12,15
SF41,7,13,2,22,2,1,12,15
SF42,6,14,2,22,2,1,13,16
SF43,5,12,1,18,1,1,11,13
SF44,6,14,3,23,2,2,12,16
SF45,7,13,2,22,2,1,13,16
SF50,6,13,2,21,1,1,13,15
SF52,6,12,3,21,2,2,10,14
SF53,7,13,2,22,0,2,12,14
SF54,8,14,2,24,2,1,13,16
SF40,6,11,2,19,1,1,12,14
SF48,7,12,1,20,2,1,13,16
WR1,6,12,2,20,2,1,11,14
WR2,4,12,2,18,2,2,12,16
WR3,6,13,2,21,2,1,13,16
WR4,8,13,2,23,2,1,13,16
WR7,6,12,2,20,2,1,12,15
WR12,7,12,2,21,2,1,13,16
WR17,6,12,2,20,1,1,13,15
WR18,5,13,2,20,2,2,12,16
WR20,7,12,2,21,2,1,12,15
WR21,5,12,1,18,1,1,14,16
WR22,6,12,3,21,2,1,13,16
WR23,7,13,1,21,2,1,13,16
WR24,6,11,1,18,1,1,10,12
WR25,7,13,2,22,1,1,12,14
WR58,7,13,2,22,1,1,13,15
WR36,6,12,3,21,2,1,12,15
WR50,6,12,2,20,2,1,12,15
WR51,5,13,2,20,1,1,13,15
WR53,5,13,1,19,1,1,10,12
WR54,6,12,2,20,2,1,12,15
PQ1,6,12,1,19,2,1,13,16
PQ2,5,12,1,18,1,1,11,13
PQ3,7,13,2,22,2,1,12,15
PQ4,5,13,1,19,1,1,14,16
PQ5,7,13,2,22,2,1,12,15
PQ6,7,12,2,21,3,0,12,15
PQ7,7,13,2,22,1,1,14,16
PQ8,6,13,2,21,1,1,13,15
PQ9,6,13,1,20,2,1,13,16
PQ10,6,13,2,21,2,1,13,16
PQ11,5,12,2,19,2,2,14,18
PQ12,6,13,2,21,2,2,11,15
PQ13,7,14,1,22,1,1,13,15
PQ14,6,11,2,19,2,1,12,15
PQ15,6,12,2,20,2,1,13,16
PQ16,6,10,,16,1,1,13,15
PQ17,6,10,0,16,2,1,13,16
PQ18,5,12,2,19,2,1,12,15
PQ19,6,13,1,20,1,1,11,13
AL1,6,13,2,21,2,0,14,16
AL2,5,13,2,20,1,1,13,15
AL3,6,13,1,20,2,1,13,16
AL4,7,12,2,21,1,1,12,14
AL5,6,12,2,20,1,1,14,16
AL6,7,13,1,21,2,1,12,15
AL7,6,12,1,19,1,1,12,14
AL8,6,10,0,16,1,2,10,13
AL9,6,13,2,21,2,2,13,17
AL10,6,10,0,16,1,1,9,11
AL11,6,11,0,17,1,1,11,13
AL12 ninespine,,,,0,,,,0
AL13,4,9,0,13,1,1,12,14
AL14 ninespine,,,,0,,,,0
AL15 ninespine,,,,0,,,,0
AL16,6,12,2,20,2,1,10,13
AL17,6,12,2,20,2,1,13,16
AL18,4,11,1,16,1,1,10,12
,,,,,,,,
,,,,,,,,
,,,,,,,,
