id rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode
AL-S1 171.660482310669 175 158.775739358762 158 141.542564953013 132 471.978786622443 465
AL-S10 169.88540521978 168 165.882864010989 164 161.180700549451 160 496.94896978022 492
AL-S11 176.284888059702 187 163.637798507463 163 148.462686567164 151 488.385373134328 501
AL-S12 169.257555298354 163 163.208461934156 160 155.622299382716 156 488.088316615226 479
AL-S13 177.328060344828 198 168.899956896552 181 158.516810344828 156 504.744827586207 535
AL-S14 195.143429487179 136 189.960508241758 225 176.273084554335 185 561.377022283272 546
AL-S15 165.083155181087 164 157.371604627767 158 150.202213279678 154 472.656973088531 476
AL-S16 184.52839781746 191 174.309151785714 178 163.663277116402 162 522.500826719577 531
AL-S18 175.970452446907 159 168.91243459526 147 158.346414281317 130 503.229301323484 436
AL-S19 186.995768495768 185 180.594731094731 168 172.48634998635 162 540.07684957685 515
AL-S2 186.720138888889 195 170.399652777778 171 147.126438492063 151 504.24623015873 517
AL-S3 177.761321428571 185 163.607357142857 162 148.482857142857 154 489.851535714286 501
AL-S5 182.651917808219 131 173.177739726027 138 160.690136986301 175 516.519794520548 444
AL-S6 172.019396551724 180 166.230884557721 168 161.324540854573 161 499.574821964018 509
AL-S7 180.794242981283 178 173.767964572193 174 164.410302473262 162 518.972510026738 514
AL-S8 170.043904622396 175 165.453084309896 165 160.521484375 160 496.018473307292 500
AL-S9 176.938225751366 197 166.000042691257 177 149.128628756831 144 492.066897199454 518
AL1 160.641319689485 104 163.28755733945 180 166.882740825688 178 490.811617854622 462
AL10 174.717912371134 102 174.667551546392 204 175.965154639175 198 525.350618556701 504
AL11 159.566672714078 181 153.469226233672 156 150.16194212627 153 463.19784107402 490
AL12 153.609541420118 167 152.816198224852 162 151.590828402367 159 458.016568047337 488
AL13 163.040208333333 184 162.306067708333 179 163.02234375 172 488.368619791667 535
AL14 180.238659793814 196 180.282139175258 190 180.408427835052 189 540.929226804124 575
AL15 175.129259259259 191 178.372222222222 193 181.057438271605 194 534.558919753086 578
AL16 167.148428571429 98 165.371928571429 103 165.033321428571 182 497.553678571429 383
AL17 164.440079365079 96 166.834171075838 97 169.341358024691 100 500.615608465608 293
AL18 151.752293324492 161 152.356929708223 159 152.824546861185 158 456.933769893899 478
AL19 167.325302197802 188 169.549835164835 189 172.47956043956 190 509.354697802198 567
AL2 146.421854332011 103 142.359685019841 168 140.363405257937 158 429.144944609788 429
AL20 159.25726161859 99 161.423502604167 103 163.365184294872 183 484.045948517628 385
AL21 168.65103125 98 168.8315 103 170.38871875 181 507.87125 382
AL22 163.076887013596 178 164.279711673699 168 165.128164556962 164 492.484763244257 510
AL23 166.552335526316 175 166.033421052632 168 166.551348684211 165 499.137105263158 508
AL24 163.18335443038 174 162.110759493671 165 161.852056962025 162 487.146170886076 501
AL25 158.478174157303 102 159.099719101124 176 159.678820224719 169 477.256713483146 447
AL26 129.5823125 151 131.86603125 150 134.89609375 145 396.3444375 446
AL27 141.595571428571 158 137.642892857143 156 132.877821428571 141 412.116285714286 455
AL28 144.268 157 146.146766666667 156 147.513966666667 155 437.928733333333 468
AL29 129.875178571429 155 128.503321428571 149 126.942857142857 131 385.321357142857 435
AL3 161.958030202822 131 157.375082671958 129 154.676532186949 131 474.009645061728 391
AL30 138.680090962441 159 140.021126760563 159 140.917730340376 158 419.61894806338 476
AL32 141.537459935897 162 141.064903846154 160 139.565018315018 157 422.16738209707 479
