id isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio
AL1 -18.71 14.42 -0.259937256332861 1.18524792885222 3.240434669443
AL11 -18.73 14.36 -0.246594020385074 1.15859116480011 3.27377790539085
AL12 -18.16 15.07 1.13113528794468 2.37147427099553 3.28510938602682
AL13 -18.86 14.63 -0.387422031633368 1.41776315355182 3.26294989414255
AL14 -18.64 14.44 -0.103977553512626 1.29120763167256 3.3263943722633
AL2 -18.57 14.43 -0.119581523517631 1.19560366166755 3.24079040225829
AL21 -18.98 14.8 0.281565774888927 2.07190475793978 3.25553987297107
AL22 -18.89 14.39 0.391897788038856 1.6822367710897 3.275871886121
AL23 -19.01 14.61 0.268174257411211 1.89851324046206 3.27214835549335
AL24 -18.21 15.3 1.18166054097368 2.70199952402454 3.38563463905582
AL29 -19.16 14.66 0.134575520238471 1.96491450328932 3.28854961832061
AL3 -18.5 13.16 -0.0434345548192829 -0.0682493696340958 3.24693737095664
AL32 -18.73 15.17 0.551897788038856 2.46223677108971 3.275871886121
AL5 -18.25 14.12 0.203500789186839 0.888685974372023 3.24387271496276
AL6 -18.7 14.4 0.550925277351588 1.66126426040244 3.24489937543373
AL7 -18.72 14.19 -0.277818587854382 0.947366597330805 3.23255333792154
CL11 -17.13 12.68 1.32041847648237 -0.554396338332444 3.24079040225829
CL12 -17.48 12.4 0.987150817401123 -0.817663997413689 3.25752274317705
CL17 -18.58 12.35 -0.120196978260176 -0.875011793074992 3.25017494751574
CL19 -19.05 13.24 0.179798143910743 0.48013712696159 3.22377224199288
CL21 -18.22 12.37 1.03524753684654 -0.364413480102613 3.24922163492868
CL23 -18.65 13.42 0.617022343199001 0.697361326249847 3.26099644128114
CL24 -16.98 12.35 1.4481884129679 -0.906626401846911 3.21856033874383
CL25 -18.08 10.49 1.187022343199 -2.23263867375015 3.26099644128114
CL27 -18.24 12.47 0.302189076323853 -0.672625738490961 3.33256100209978
CL28 -18.69 13.3 0.58082646174991 0.581165444800759 3.26480055983205
CL29 -18.95 10.36 0.304155753717439 -2.37550526323172 3.24812985179958
CL31 -20.79 11.32 -2.33432210371186 -1.90913691852668 3.24604982206406
CL38 -17.37 12.51 1.04823320954677 -0.756581605268043 3.20860513532269
CL39 -20.86 9.68 -1.6153264112494 -3.06498742819855 3.23864768683274
CL40 -19.3 11.55 -0.859197548551724 -1.69401236336654 3.2311743772242
CL41 -18.42 9.18 0.101019934104916 -3.9837948807099 3.31139185988084
CL42 -18.47 12.9 0.769406283004665 0.14974526605551 3.2333803810868
CL45 -15.28 10.98 3.96810438468711 -1.76155663226204 3.24207848276925
CL47 -18.33 9.65 0.12340095485002 -3.58141385996479 3.24377288062594
CL50 -16.8 11.95 1.66439397883294 -1.27042083598187 3.25476590460887
CL53 -17.8 12.37 0.63559843413939 -0.879216380675424 3.22597035991531
CL54 -18.88 12.46 -0.400340518281948 -0.745155333096762 3.27003140749397
CL58 -19.68 12.95 -1.14055098406198 -0.19536579887679 3.32982094171395
CL9 -19.07 12.39 -0.586594020385069 -0.811408835199881 3.27377790539085
LN1 -20.57 11.52 -1.3284247628827 -1.22808577983185 3.23554933519944
LN10 -20.68 11.46 -1.47013233570723 -1.31979335265638 3.20384176237491
LN11 -20.58 11.62 -1.25780894762727 -1.04746996457643 3.31616515045486
LN12 -20.38 11.25 -1.04841206644184 -1.40807308339099 3.3255620316403
LN13 -20.61 11.46 -2.12102189192352 -1.73583670673833 3.2793500338524
LN14 -20.9 11.99 -1.6831000444001 -0.782761061349254 3.21087405368204
LN15 -20.32 11.54 -1.07426315520533 -1.20392417215449 3.23971094287681
LN16 -20.72 11.66 -1.32962444353122 -0.939285460480374 3.38434965455092
LN17 -19.74 11.46 -0.467661557704565 -1.25732257465372 3.26631254037757
LN18 -19.99 11.2 -0.708199837930726 -1.50786085487988 3.27577426015141
LN19 -20.87 11.81 -1.53177423687464 -0.841435253823795 3.3321998612075
LN2 -20.42 11.4 -1.1670367271255 -1.33669774407465 3.24693737095664
LN20 -19.85 12.05 -0.633100044400104 -0.722761061349254 3.21087405368204
LN21 -20.1 11.18 -0.782669619798442 -1.49233063674759 3.3113044782837
LN22 -20.08 11.24 -0.863271756945012 -1.53293277389417 3.21070234113712
LN23 -20.41 11.25 -1.18587361632027 -1.51553463326942 3.21810048176187
LN24 -19.99 11.35 -0.75646556565893 -1.40612658260808 3.22750853242321
LN25 -20.1 11.76 -0.859847907130044 -0.989508924079197 3.2341261909521
LN3 -20.27 11.65 -0.99550434719246 -1.06516536414161 3.26846975088968
LN4 -21.3 11.65 -2.065772558544 -1.10543357549315 3.22820153953814
LN5 -21.23 10.4 -1.962977656801 -2.32263867375015 3.26099644128114
