id species ventral_rakers dorsal_rakers raker_long_count raker_short_count plate_count spine_dorsal1 spine_dorsal2 std_length
CP7 common 23 7 19 14 31 0.49 0.52 3.955644406
CP9 common 24 8 20 15 31 0.6 0.62 3.865711904
CP14 common 22 8 19 14 32 0.5 0.5 3.649085079
CP15 common 25 6 20 15 32 0.48 0.63 4.496059558
CP16 common 23 8 19 15 32 0.53 0.6 3.279893987
CP17 common 25 7 21 15 32 0.59 0.6 3.541477531
CP18 common 27 9 24 16 31 0.46 0.57 3.384238487
CP27 common 24 8 21 14 30 0.47 0.57 3.54425187
CP29 common 25 9 21 16 31 0.6 0.65 4.047575858
CP33 common 25 8 22 14 32 0 0 4.080961551
CP40 common 24 9 22 15 30 0.5 0.54 3.62436707
CP50 common 24 7 19 15 31 0 0.58 3.470695963
CP53 common 24 8 22 15 31 0.66 0.7 4.37904616
CP54 common 23 8 20 14 32 0.57 0.6 3.735965848
CP25 common 22 8 18 15 32 0.52 0.61 4.483150004
CP20 common 25 8 20 16 33 0.6 0.66 4.249099099
CP32 common 25 10 23 16 32 0 0.61 4.170259245
CP39 common 24 8 20 15 30 0 0 3.705300735
CP49 common 28 9 23 18 32 0.58 0.62 3.378870002
CP26 common 23 8 20 15 33 0.42 0 3.57828302
SR23 white 25 10 22 16 32 0.44 0.46 3.162342787
SR20 white 24 8 20 15 30 0.43 0.44 3.075360587
SR18 white 26 10 23 17 32 0.47 0.47 3.016746967
SR16 white 26 8 23 16 31 0.38 0.43 3.016797095
SR13 white 25 8 20 16 29 0.52 0.53 3.095508458
SR25 white 26 7 20 16 31 0.37 0.44 3.12633061
SR33 white 25 8 20 16 30 0.45 0.51 3.739444462
SR34 white 23 8 20 15 31 0.56 0.57 3.595178341
SR37 white 27 8 21 17 30 0.49 0.57 3.595687821
SR41 white 27 9 22 18 32 0.46 0.51 3.000574923
SR42 white 23 8 21 14 30 0.54 0.56 3.439059296
SR45 white 24 7 18 15 31 0.4 0.44 3.007555219
SR48 white 26 7 20 16 31 0.48 0.5 3.151555237
SR56 white 26 7 20 15 31 0.54 0.6 3.775498069
SR17 white 26 8 20 17 32 0.58 0.59 3.65902897
SR36 white 24 7 20 15 32 0.4 0.41 3.136664184
SR43 white 25 9 22 16 31 0 0.46 2.988133454
SR27 white 26 9 22 16 30 0.57 0.66 3.841189527
SR11 white 26 8 21 17 30 0.44 0.44 3.228413793
SR19 white 25 7 21 15 31 0.43 0.5 3.641289787
PP19 white 24 8 21 15 31 0.49 0.54 3.318199649
PP21a common 24 7 19 15 31 0 0.46 NA
PP27 white 27 7 23 17 32 0.48 0.49 3.130549492
PP28 white 25 7 20 15 33 0.4 0.45 3.068315224
PP32 white 25 8 22 15 31 0.43 0.46 2.819387612
PP34 white 23 8 21 15 32 0.34 0.39 2.887824673
PP36 white 23 8 21 15 31 0.4 0.41 2.833281394
PP37 white 24 7 19 15 30 0 0.49 3.011704357
PP41 white 24 8 21 15 34 0.34 0.51 3.320283728
PP42 white 24 7 20 14 29 0.44 0.29 2.997753096
PP43 white 26 8 22 16 30 0.45 0.49 3.18079313
PP44 white 25 6 19 16 30 0.47 0.46 3.043501823
PP46 white 22 7 18 15 31 0.46 0.5 3.108652517
PP47 white 25 9 23 15 30 0.4 0.47 3.508546098
PP50 white 24 9 21 16 32 0.47 0.51 3.277311139
PP24 white 25 8 22 16 31 0 0.51 3.381351447
PP25 white 24 9 23 15 31 0.43 0.48 2.925691523
PP33 white 24 8 21 15 31 0.6 0.57 3.792057621
PP35 white 25 7 20 16 31 0.45 0.51 3.013213485
PP29 white 25 6 19 15 30 0.42 0.46 2.960060884
SF15 white 24 8 21 15 29 0.34 0.34 2.978656035
SF21 white 23 7 19 14 32 0.46 0.47 3.102942826
SF22 white 23 9 21 15 33 0.46 0.5 3.202074181
SF23 white 24 7 20 15 32 0.45 0.42 3.196836334
SF25 white 25 7 21 15 31 0 0 3.756711389
SF31 white 24 6 19 15 32 0.43 0.49 3.14244464
SF35 white 26 9 23 17 32 0.56 0.58 3.506524388
SF38 white 25 7 20 16 30 0.48 0.56 3.89471899
SF39 white 24 7 19 15 32 0.48 0.54 3.691826511
SF41 white 25 9 22 15 31 0.51 0.55 3.613833333
SF42 white 27 8 22 16 30 0.45 0.45 2.98975971
SF43 white 23 6 18 13 30 0.58 0.58 3.955959944
