id egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight
AL1 1.36 0.171269767715535 103 3.093 F NA NA NA
AL11 1.485 0.0579750904364203 80 3.45 F NA NA NA
AL13 1.29 0.119721899973786 73 3.724 F NA NA NA
AL2 1.62 0.0788810637746615 139 3.995 F NA NA NA
AL3 1.31 0.119721899973786 69 3.543 F NA NA NA
AL5 1.595 0.083166499665831 97 4.376 F NA NA NA
AL7 1.465 0.208233309321806 71 3.703 F NA NA NA
CL11 0.95 0.0707106781186547 91 1.25 F NA NA NA
CL17 1.485 0.066874675492463 87 3.73 F NA NA NA
CL24 1.065 0.0818195847242238 134 1.865 F NA NA NA
CL27 1.555 0.0685160159703149 104 3.96 F NA NA NA
CL31 1.455 0.463351318595776 25 3.725 F NA NA NA
CL33 1.42 0.0752772652709081 34 2.73 F NA NA NA
CL4 1.495 0.0497214463005877 80 3.746 F NA NA NA
CL40 1.34 0.0843274042711568 33 2.65 F NA NA NA
CL41 1.445 0.0497214463005877 40 2.84 F NA NA NA
CL47 1.385 0.078351061823621 56 3.114 F NA NA NA
CL50 1.08 0.0788810637746615 74 2.079 F NA NA NA
CL54 1.34 0.0966091783079296 86 2.77 F NA NA NA
CL56 1.43 0.0823272602348565 39 2.912 F NA NA NA
CL58 1.148 0.381569856717686 88 2.97 F NA NA NA
CL63 1.455 0.0797565740933694 29 2.741 F NA NA NA
CL9 1.11 0.0699205898780101 99 1.81 F NA NA NA
CP11 0.99 0.13703203194063 63 1.387 F NA NA NA
CP15 1.59 0.0737864787372622 93 3.66 F NA NA NA
CP16 1.53 0.0674948557710553 75 3.81 F NA NA NA
CP19 0.94 0.0699205898780101 98 1.898 F NA NA NA
CP23 0.9 0.0666666666666667 57 1.44 F NA NA NA
CP34 1.515 0.066874675492463 69 3.921 F NA NA NA
GC1 1.325 0.067700320038633 109 3.73 F NA NA NA
GC12 1.565 0.0883490552046571 100 4.495 F NA NA NA
GC13 1.405 0.0926462807312486 44 4.742 F NA NA NA
GC14 1.32 0.0632455532033676 92 3.641 F NA NA NA
GC2 1.3955 0.439042202476659 66 4.758 F NA NA NA
GC28 1.495 0.109163485958752 86 4.28 F NA NA NA
GC33 1.42 0.0823272602348565 71 3.708 F NA NA NA
GC4 0.765 0.0783510618236211 120 0.772 F NA NA NA
GC40 1.66 0.0699205898780101 124 5.652 F NA NA NA
GC45 0.85 0.0577350269189626 78 0.92 F NA NA NA
SF1 1.585 0.0579750904364203 107 4.101 F NA NA NA
SF10 1.425 0.058925565098879 72 2.799 F NA NA NA
SF22 1.46 0.0516397779494323 62 2.863 F NA NA NA
SF27 1.335 0.120300549550791 62 2.613 F NA NA NA
SF28 1.405 0.083166499665831 58 2.886 F NA NA NA
SF30 1.36666666666667 0.0866025403784438 37 2.447 F NA NA NA
SF32 1.11 0.110050493461461 70 1.575 F NA NA NA
SF5 1.475 0.0824957911384306 45 3.08 F NA NA NA
SF83 1.31 0.0774596669241483 65 2.422 F NA NA NA
SR1 0.715 0.105540934659917 53 0.777 F NA NA NA
SR105 0.8 0.0666666666666667 39 0.977 F NA NA NA
SR107 1.035 0.0709068246206089 40 1.976 F NA NA NA
SR113 0.965 0.052967495273569 117 1.358 F NA NA NA
SR125 1.555 0.0437797517885457 122 4.235 F NA NA NA
SR130 1.005 0.0283823106098774 91 1.712 F NA NA NA
SR131 1.395 0.089597867038104 42 2.569 F NA NA NA
SR133 1.36 0.107496769977314 43 2.101 F NA NA NA
SR141 1.035 0.0783510618236211 37 1.82 F NA NA NA
SR144 0.95 0.124721912892465 58 0.985 F NA NA NA
SR148 1.255 0.0797565740933693 63 2.167 F NA NA NA
SR149 1.32 0.0632455532033675 85 2.442 F NA NA NA
SR15 0.79 0.128668393770792 60 0.823 F NA NA NA
SR20 1.44 0.0516397779494322 92 3.79 F NA NA NA
SR34 0.93 0.0918936583472681 55 1.103 F NA NA NA
SR45 1.015 0.137537873571852 47 1.487 F NA NA NA
SR58 1.145 0.111679103785006 48 2.373 F NA NA NA
SR76 1.2 0.0816496580927726 59 2.782 F NA NA NA
SR88 1.295 0.083166499665831 58 3.372 F NA NA NA
SR89 1.275 0.0634647758821992 67 2.924 F NA NA NA
SR96 0.845 0.0598609499868932 47 0.942 F NA NA NA
AL12 NA NA NA NA M 5.1 1.25 0.684
AL21 NA NA NA NA M 4.95 0.85 0.639
AL22 NA NA NA NA M 6 1.175 0.61
AL24 NA NA NA NA M 6 1.55 0.944
AL29 NA NA NA NA M 5.7 1.1 0.611
AL32 NA NA NA NA M 5.6 1.3 0.717
CL19 NA NA NA NA M 3.65 0.95 0.384
CL23 NA NA NA NA M 3.8 0.9 0.484
CL25 NA NA NA NA M 3.3 0.625 0.255
CL29 NA NA NA NA M 4.1 1.15 0.44
CL39 NA NA NA NA M 3.15 0.75 0.559
CL42 NA NA NA NA M 2.85 0.65 0.285
CL45 NA NA NA NA M 4 1 0.405
