id std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic
AL3 4.89 1.2 1.28 0.636476191 0.618 0.23035 0.929011905
AL12 4.97 1.13 1.1 0.672372228 0.637 0.121991227 0.979425473
AL29 5.17 1.22 1.15 0.480231884 0.558 0.144927536 0.782743961
AL21 5.18 1.25 1.21 0.505092199 0.419 0.146037825 0.908243499
AL23 5.2 1.23 1.21 0.568027364 0.685 0.139685564 0.993719315
AL24 5.33 1.26 1.23 NA NA 0 NA
AL22 5.35 1.31 1.24 NA NA 0 NA
AL6 5.42 1.32 1.3 0.570363207 0.524 0 0.892204661
AL32 5.44 1.3 1.24 0.515781775 0.607 0.162786571 0.851964029
AL7 5.45 1.28 1.31 0.640971631 0.624 0.184940898 0.965477541
AL5 5.52 1.43 1.48 0.696338062 0.725 0.190302601 0.979134752
AL14 5.58 1.39 1.41 0.562016118 0.635 0.197051613 0.755091475
AL13 5.75 1.32 1.37 0.594174915 0.598 0.192190205 0.803162298
AL2 5.79 1.38 1.45 0.603447665 0.652 0.197051613 0.938829014
AL11 5.91 1.31 1.4 0.413532981 0.468 0.166019323 0.734562458
AL1 6.01 1.43 1.42 0.70065721 0.708 0.203089835 0.921985816
BR28 5 1.21 1.23 0.641423955 0.674 0.194492406 0.981919669
BR32 5.04 1.13 1.12 0.555939864 0.553 0.191694342 1.020747565
BR29 5.13 1.19 1.14 0.663047769 0.672 0.159517742 0.919573321
BR18 5.17 1.25 1.37 0.546080055 0.667 0.176421881 0.905225055
BR21 5.17 1.17 1.15 0.612095246 0.704 0.182600424 0.851482356
BR36 5.17 1.19 1.14 0.689094213 0.78 0.241551011 1.032203193
BR31 5.18 1.14 1.14 0.545009115 0.597 0.162160499 0.967535081
BR20 5.5 1.31 1.3 0.651770653 0.633 0.215582877 0.852090073
BR23 5.63 1.34 1.4 0.588653206 0.593 0.213063609 0.633961302
BR24 5.66 1.26 1.27 0.67579465 0.74 0.206380786 0.887682479
BR26 5.7 1.39 1.4 0.520308674 0.604 0.175558674 0.785117347
BR37 5.7 1.4 1.36 0.483360311 0.552 0.164427251 0.901005275
BR25 5.72 1.31 1.41 0.524010069 0.651 0.149286901 0.820884428
BR33 5.72 1.36 1.42 0.686264608 0.713 0.191676741 1.031205207
BR19 6.03 1.46 1.43 0.586650462 0.593 0.220203528 0.946266996
CL56 3.36 0.76 0.74 0.384018383 0.417 0 0.539740101
CL25 3.49 0.83 0.78 0.321104449 0.285 0.149687276 0.524047454
CL63 3.49 0.74 0.77 0.397163121 0.501 0.063434988 0.553373523
CL40 3.53 0.84 0.87 0.313334641 0.35 0.070920142 0.457420729
CL45 3.54 0.75 0.73 0.338321596 0.33 0.121159624 0.507237089
CL42 3.61 0.8 0.79 0.363895947 0.415 0.179103051 0.574096175
CL29 3.82 0.93 0.88 0.423048444 0.515 0.140693934 0.590039309
CL21 3.84 0.89 0.89 0.332047281 0.451 0.070921986 0.614037825
CL33 3.85 0.83 0.82 0.284035167 0.37 0.090822697 0.59724688
CL39 3.89 0.86 0.83 0.373122685 0.406 0.152766713 0.639697313
CL47 3.9 0.87 0.91 0.389479233 0.426 0.184936089 0.57089532
CL19 3.99 0.87 0.85 0.36875684 0.426 0.102275655 0.640750467
CL31 4 0.85 0.84 0.454111122 0.514 0 0.752287766
CL41 4.13 0.96 0.99 0.415869797 0.547 0.164234982 0.617734871
CL54 4.27 1.04 1.08 NA NA NA NA
CL28 4.67 1.04 0.99 0.565649713 0.598 0.164246933 0.695277822
CL23 4.73 1.03 1.02 0.486542019 0.507 0.142853402 0.761958615
CL17 4.89 1.18 1.3 0.475758865 0.477 0.161728132 0.74248227
CL38 4.94 1.19 1.17 0.402290476 0.598 0.202030952 0.862957143
CL58 5.13 1.21 1.23 0.354600708 0.414 0 0.552448991
CL50 5.18 1.2 1.25 0.642906099 0.655 0.164234982 0.817912319
CL27 5.19 1.23 1.35 0.553135261 0.545 0.158570169 0.810416435
CL43 5.32 1.23 1.21 0.465628822 0.557 0.145005645 0.766907427
CL12 5.39 1.24 1.25 0.55621769 0.567 0.120347104 0.922329409
CL24 5.4 1.27 1.32 0.578865792 0.687 0.182940447 0.933916017
CL9 5.49 1.22 1.25 0.60739091 0.651 0.20950789 0.993007597
CL64 5.82 1.4 1.45 0.339190772 0.434 0.121156496 0.592205366
CL11 5.89 1.26 1.21 0.554941177 0.605 0.212090686 1.029517157
GC32 4.59 1.13 1.11 0.626682205 0.662 0.220179588 0.993394587
