population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,egg number,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
AL-S-2014,1,,C,,,,,,,,,,,,,,,,,,,5.115366632,1.224497229,
AL-S-2014,2,,C,,,,,,,,,,,,,,,,,,,4.683676661,1.199903103,
AL-S-2014,3,,C,,,,,,,,,,,,,,,,,,,5.181568772,1.239282381,
AL-S-2014,4,,C,,,,,,,,,,,,,,,,,,,4.227057258,0.794458679,
AL-S-2014,5,,C,,,,,,,,,,,,,,,,,,,4.975822455,1.217238742,
AL-S-2014,6,,C,,,,,,,,,,,,,,,,,,,4.801634309,1.153810652,
AL-S-2014,7,,C,,,,,,,,,,,,,,,,,,,4.656343024,1.167827684,
AL-S-2014,8,,C,,,,,,,,,,,,,,,,,,,4.982804592,1.184501315,
AL-S-2014,9,,C,,,,,,,,,,,,,,,,,,,4.979591626,1.139422344,
AL-S-2014,10,,C,,,,,,,,,,,,,,,,,,,5.063769402,1.184701292,
AL-S-2014,11,,C,,,,,,,,,,,,,,,,,,,4.922550161,1.176784277,
AL-S-2014,12,,C,,,,,,,,,,,,,,,,,,,5.227221917,1.192564467,
AL-S-2014,13,,C,,,,,,,,,,,,,,,,,,,4.834024705,1.092178871,
AL-S-2014,14,,C,,,,,,,,,,,,,,,,,,,4.882580982,1.177754361,
AL-S-2014,15,,C,,,,,,,,,,,,,,,,,,,5.230069844,1.270030153,
AL-S-2014,16,,C,,,,,,,,,,,,,,,,,,,4.830080204,1.194389321,
AL-S-2014,18,,C,,,,,,,,,,,,,,,,,,,3.346191912,0.784929695,
AL-S-2014,19,,C,,,,,,,,,,,,,,,,,,,3.299966415,0.742752095,
AL2014,1,F,B,1,1.3,1.2,1.2,1.5,1.7,1.5,1.2,1.2,1.4,1.4,103,,,,,3.093,,6.007390071,1.432640662,1
AL2014,2,F,B,1,1.7,1.5,1.7,1.6,1.7,1.7,1.6,1.5,1.6,1.6,139,,,,,3.995,,5.793603476,1.384105851,1
AL2014,3,F,B,1,1.2,1.4,1.3,1.4,1.4,1.1,1.3,1.3,1.2,1.5,69,,,,,3.543,,4.893378571,1.200085714,1
AL2014,4,,B,,,,,,,,,,,,,,,,,,,4.896104019,1.163465721,
AL2014,5,F,B,1,1.8,1.6,1.6,1.6,1.5,1.6,1.6,1.55,1.6,1.5,97,,,,,4.376,,5.517735225,1.432782506,1
AL2014,6,M,B,1,,,,,,,,,,,,5,NA,1.1,1,0.613,,5.420040797,1.317036415,1
AL2014,7,F,B,1,1.9,1.6,1.5,1.5,1.4,1.15,1.4,1.5,1.2,1.5,71,,,,,3.703,,5.452945627,1.277304965,1
AL2014,8,,B,,,,,,,,,,,,,,,,,,,5.012976191,1.148202746,
AL2014,9,,B,,,,,,,,,,,,,,,,,,,4.939483843,1.172328852,
AL2014,10,,B,,,,,,,,,,,,,,,,,,,5.623761651,1.312403231,
AL2014,11,F,B,1,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.45,1.4,80,,,,,3.45,x9,5.91173752,1.312098267,1
AL2014,12,M,B,1,,,,,,,,,,,,5.7,4.5,1.2,1.3,0.684,,4.967104392,1.134494299,1
AL2014,13,F,B,1,1.3,1.3,1.4,1.1,1.3,1.5,1.3,1.3,1.1,1.3,73,,,,,3.724,,5.750487487,1.322089183,1
AL2014,14,F,B,1,1.5,1.2,1.2,1.2,1.4,1.5,1.4,0.9,1.6,1.6,NA,,,,,2.479,,5.575784081,1.390108059,1
AL2014,15,,B,,,,,,,,,,,,,,,,,,,5.072222708,1.205663683,
