id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic csize PC1 PC10 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 joint_sex ventral_rakers dorsal_rakers raker_long_count raker_short_count plate_count
AL1 AL 2014 AN cmn cmn F 1 160.641319689485 104 163.28755733945 180 166.882740825688 178 490.811617854622 462 -18.71 14.42 -0.0874999999999065 0.201250000000009 3.240434669443 1.36 0.171269767715535 103 3.093 F NA NA NA 6.01 1.43 1.42 0.70065721 0.708 0.203089835 0.921985816 6.3835026139663 -0.0348844569699496 0.00386378906031786 -0.0127740705122632 -0.000275524762579234 -0.00346640505941112 -0.0440286119661698 0.0250352911875096 0.00444819674067853 0.0112148234037847 -0.0128364426419302 F NA NA NA NA NA
AL1 AL 2014 AN cmn cmn F 1 160.641319689485 104 163.28755733945 180 166.882740825688 178 490.811617854622 462 -18.71 14.42 -0.0874999999999065 0.201250000000009 3.240434669443 1.36 0.171269767715535 103 3.093 F NA NA NA 6.01 1.43 1.42 0.70065721 0.708 0.203089835 0.921985816 7.54566125350301 0.0204617177498847 -0.00748193121437504 -0.0277223859699452 0.001952852800458 0.00925731435675221 0.0250611820245123 0.0305537783859757 -0.00750831846477556 -0.0103399652247542 0.00447375643739394 F NA NA NA NA NA
AL11 AL 2014 AN cmn cmn F 1 159.566672714078 181 153.469226233672 156 150.16194212627 153 463.19784107402 490 -18.73 14.36 -0.107500000000006 0.14124999999999 3.27377790539085 1.485 0.0579750904364203 80 3.45 F NA NA NA 5.91 1.31 1.4 0.413532981 0.468 0.166019323 0.734562458 6.10338186846917 -0.0156510362762606 -0.01553399190306 0.0261331457973724 -0.0213304979429298 -0.00660569236585069 0.015002803572446 -0.0295216670095058 0.0173781664226943 -0.00621884848260191 -0.0128751500070309 F NA NA NA NA NA
AL11 AL 2014 AN cmn cmn F 1 159.566672714078 181 153.469226233672 156 150.16194212627 153 463.19784107402 490 -18.73 14.36 -0.107500000000006 0.14124999999999 3.27377790539085 1.485 0.0579750904364203 80 3.45 F NA NA NA 5.91 1.31 1.4 0.413532981 0.468 0.166019323 0.734562458 7.3524834841207 -0.00154938809173923 0.0116513332937332 0.0109882303890748 -0.00602347607513999 0.011565686122119 -0.0442318106945642 0.0209105234211582 0.00418753807337375 -0.000489043960264845 -0.00760650756437437 F NA NA NA NA NA
AL12 AL 2014 AN cmn cmn M 1 153.609541420118 167 152.816198224852 162 151.590828402367 159 458.016568047337 488 -18.16 15.07 0.570000000000017 0.270000000000008 3.28510938602682 NA NA NA NA M 5.1 1.25 0.684 4.97 1.13 1.1 0.672372228 0.637 0.121991227 0.979425473 5.99542051703587 0.00114200584134364 -0.00062467434525856 -0.00111031172952985 -0.00637484301459224 0.0136642015191709 -0.0249509955232983 0.051238486215568 -0.00582572111922406 -0.00614323304018639 -0.00557837417734217 M NA NA NA NA NA
AL12 AL 2014 AN cmn cmn M 1 153.609541420118 167 152.816198224852 162 151.590828402367 159 458.016568047337 488 -18.16 15.07 0.570000000000017 0.270000000000008 3.28510938602682 NA NA NA NA M 5.1 1.25 0.684 4.97 1.13 1.1 0.672372228 0.637 0.121991227 0.979425473 6.3983113111033 -0.0888539652965576 -0.00471044830133838 -0.0118043584737843 -0.00142110698615636 -0.00423486570119381 0.0117076156700609 0.0467653887714002 0.0139568536098604 0.00196490796745037 -0.017495633551442 M NA NA NA NA NA
AL13 AL 2014 AN cmn cmn F 1 163.040208333333 184 162.306067708333 179 163.02234375 172 488.368619791667 535 -18.86 14.63 -0.237500000000012 0.411249999999997 3.26294989414255 1.29 0.119721899973786 73 3.724 F NA NA NA 5.75 1.32 1.37 0.594174915 0.598 0.192190205 0.803162298 5.9945015874602 -0.0186191781837833 -0.00352169086555348 -0.00838019349384932 -0.00728989463324083 0.00526736404765184 0.0102685812965202 0.0441362029704793 0.00923060782345568 -0.00463755776300861 0.00833723607484854 F NA NA NA NA NA
AL13 AL 2014 AN cmn cmn F 1 163.040208333333 184 162.306067708333 179 163.02234375 172 488.368619791667 535 -18.86 14.63 -0.237500000000012 0.411249999999997 3.26294989414255 1.29 0.119721899973786 73 3.724 F NA NA NA 5.75 1.32 1.37 0.594174915 0.598 0.192190205 0.803162298 7.23569677601507 -0.0138414635701271 -0.00524370723670604 -0.0172168305230395 0.00496908673143644 -0.0111597722917 -0.0112767155142673 0.0287144199744081 0.00830780446905128 0.0003623812904601 0.00505827197836047 F NA NA NA NA NA
AL14 AL 2014 AN cmn cmn F 1 180.238659793814 196 180.282139175258 190 180.408427835052 189 540.929226804124 575 -18.64 14.44 -0.0175000000000135 0.22125 3.3263943722633 NA NA NA NA NA NA NA NA 5.58 1.39 1.41 0.562016118 0.635 0.197051613 0.755091475 6.05115682008896 -0.0428579979758437 0.000205974317820052 -0.0249007001582583 0.000171556759220393 -0.00360102976496009 -0.0186694800023783 -0.00941114025808407 0.00906060616775218 -0.01167331218295 -0.0119512853267207 F NA NA NA NA NA
AL14 AL 2014 AN cmn cmn F 1 180.238659793814 196 180.282139175258 190 180.408427835052 189 540.929226804124 575 -18.64 14.44 -0.0175000000000135 0.22125 3.3263943722633 NA NA NA NA NA NA NA NA 5.58 1.39 1.41 0.562016118 0.635 0.197051613 0.755091475 6.98699101401381 -0.00147606507041055 0.0100040563091659 -0.0197278457492465 0.00529170474945466 0.0129951497082693 0.0107718950414923 0.0520372802002679 0.0011033399812896 -0.0142939460467189 -0.00400311099633186 F NA NA NA NA NA
AL2 AL 2014 AN cmn cmn F 1 146.421854332011 103 142.359685019841 168 140.363405257937 158 429.144944609788 429 -18.57 14.43 0.0524999999999872 0.211250000000002 3.24079040225829 1.62 0.0788810637746615 139 3.995 F NA NA NA 5.79 1.38 1.45 0.603447665 0.652 0.197051613 0.938829014 5.78470208455878 -0.0889882605674108 0.0195217628476249 -0.0102196212326108 0.002306717146163 -0.00360398167296718 0.0174111019674026 0.0152051641400866 0.0166947487345354 0.00831880029144373 -0.00455979629494714 F NA NA NA NA NA
AL2 AL 2014 AN cmn cmn F 1 146.421854332011 103 142.359685019841 168 140.363405257937 158 429.144944609788 429 -18.57 14.43 0.0524999999999872 0.211250000000002 3.24079040225829 1.62 0.0788810637746615 139 3.995 F NA NA NA 5.79 1.38 1.45 0.603447665 0.652 0.197051613 0.938829014 7.43397617166291 0.022816604196047 0.00222242892595053 -0.00546899216780786 -4.52664198217325e-05 -0.00552841227518438 0.00930713087405337 0.0278976193415383 -0.00315648309040064 -0.000162554784801606 0.00648311343099034 F NA NA NA NA NA
AL21 AL 2014 AN cmn cmn M 1 168.65103125 98 168.8315 103 170.38871875 181 507.87125 382 -18.98 14.8 -0.250000000000004 1.99840144432528e-15 3.25553987297107 NA NA NA NA M 4.95 0.85 0.639 5.18 1.25 1.21 0.505092199 0.419 0.146037825 0.908243499 6.51280499801886 -0.0148469449361038 0.00860866266602192 -0.00257687321239239 -0.00187850431740875 -0.00310353334593001 0.00973346460355367 -0.00700084795527441 0.00565917911309749 -0.00444484111173828 -0.00890688951154328 M NA NA NA NA NA
AL22 AL 2014 AN cmn cmn M 1 163.076887013596 178 164.279711673699 168 165.128164556962 164 492.484763244257 510 -18.89 14.39 -0.160000000000003 -0.410000000000002 3.275871886121 NA NA NA NA M 6 1.175 0.61 5.35 1.31 1.24 NA NA 0 NA 6.57581023250797 -0.0299908049876836 -0.0116005641348926 0.00737642687438935 -0.000876775177159608 0.00813906951172523 0.0338488970787908 0.0120571105718681 0.00111227489991361 -0.0101150416098666 -0.0116398173120243 M NA NA NA NA NA
AL23 AL 2014 AN cmn cmn M 1 166.552335526316 175 166.033421052632 168 166.551348684211 165 499.137105263158 508 -19.01 14.61 -0.280000000000005 -0.190000000000002 3.27214835549335 NA NA NA NA NA NA NA NA 5.2 1.23 1.21 0.568027364 0.685 0.139685564 0.993719315 6.38755662773062 -0.00512901571511121 0.0127168537640969 0.0115430995344589 -0.00033070898686135 0.0108862471437693 -0.0026300490484541 0.0128760211796819 0.011181837981313 0.00757171925909023 0.00557397334943237 M NA NA NA NA NA
AL24 AL 2014 AN cmn cmn M 1 163.18335443038 174 162.110759493671 165 161.852056962025 162 487.146170886076 501 -18.21 15.3 0.519999999999996 0.499999999999999 3.38563463905582 NA NA NA NA M 6 1.55 0.944 5.33 1.26 1.23 NA NA 0 NA 6.64865776856492 -0.041436837818876 -0.00631081379919504 -0.00832245012554579 0.0219639823981335 -0.000493367071564092 0.00799781021777593 0.0186945909815774 0.00118648240626502 -0.0184700672359528 0.00432578989683965 M NA NA NA NA NA
AL29 AL 2014 AN cmn cmn M 1 129.875178571429 155 128.503321428571 149 126.942857142857 131 385.321357142857 435 -19.16 14.66 -0.430000000000003 -0.140000000000002 3.28854961832061 NA NA NA NA M 5.7 1.1 0.611 5.17 1.22 1.15 0.480231884 0.558 0.144927536 0.782743961 6.3237751288918 -0.0334232126860404 0.00922150530283039 -0.00401746660944051 0.00802791145223135 0.00602966130394657 -0.00110552629245022 0.00849418778656383 0.00388691205221176 0.00379875766763171 0.00367156972180979 M NA NA NA NA NA
AL3 AL 2014 AN cmn cmn F 1 161.958030202822 131 157.375082671958 129 154.676532186949 131 474.009645061728 391 -18.5 13.16 0.122499999999987 -1.05875 3.24693737095664 1.31 0.119721899973786 69 3.543 F NA NA NA 4.89 1.2 1.28 0.636476191 0.618 0.23035 0.929011905 6.21523170285029 0.0279220202316748 -0.00525238847010877 0.0236494798177726 -0.000682449154040364 -0.00401851696147903 -0.00454391454808316 0.0081395110862422 -0.00780578419539716 -0.00858180782517573 -0.0002649737133145 F NA NA NA NA NA
AL3 AL 2014 AN cmn cmn F 1 161.958030202822 131 157.375082671958 129 154.676532186949 131 474.009645061728 391 -18.5 13.16 0.122499999999987 -1.05875 3.24693737095664 1.31 0.119721899973786 69 3.543 F NA NA NA 4.89 1.2 1.28 0.636476191 0.618 0.23035 0.929011905 6.33868435553304 -0.0657584518438334 -0.00884068674537891 0.0258468094880049 -0.00926226399091976 -0.00959378810587727 0.0195540482210385 0.0165494719722881 -0.0143682862323451 0.00144163284931056 0.0049002980039551 F NA NA NA NA NA
AL32 AL 2014 AN cmn cmn M 1 141.537459935897 162 141.064903846154 160 139.565018315018 157 422.16738209707 479 -18.73 15.17 -3.28730098697605e-15 0.369999999999998 3.275871886121 NA NA NA NA M 5.6 1.3 0.717 5.44 1.3 1.24 0.515781775 0.607 0.162786571 0.851964029 6.72576320074843 -0.0110055511286459 0.00834577855925532 0.0100109065164125 0.00910820178901436 -0.00442213571119606 -0.0321994358554971 0.00738564350004242 0.0058577646273882 -0.00592762407163637 -0.0140469156161056 M NA NA NA NA NA
AL5 AL 2014 AN cmn cmn F 1 167.164620535714 101 164.684216174451 103 162.320763221154 185 494.169599931319 389 -18.25 14.12 0.372499999999987 -0.0987499999999998 3.24387271496276 1.595 0.083166499665831 97 4.376 F NA NA NA 5.52 1.43 1.48 0.696338062 0.725 0.190302601 0.979134752 6.16337720641722 0.00254094451365659 -0.00258728806381109 0.00487182484160025 0.00806891068331007 0.0093863667429571 -0.0168714699740809 0.0110118431471145 -0.00735238289828448 0.00401070969561549 0.0101061657962266 F NA NA NA NA NA
AL5 AL 2014 AN cmn cmn F 1 167.164620535714 101 164.684216174451 103 162.320763221154 185 494.169599931319 389 -18.25 14.12 0.372499999999987 -0.0987499999999998 3.24387271496276 1.595 0.083166499665831 97 4.376 F NA NA NA 5.52 1.43 1.48 0.696338062 0.725 0.190302601 0.979134752 6.88768786049951 -0.00225574241530151 0.00334483086168286 0.0106168273190685 0.000925035791654121 0.00464423851627431 0.0336133888849687 0.0113711887496056 0.00277583303689203 -0.00232656726053926 0.00796477413185885 F NA NA NA NA NA
AL6 AL 2014 AN cmn cmn M 1 178.230879752431 188 176.073883731211 184 173.124972369584 174 527.429735853227 546 -18.7 14.4 0.0299999999999979 -0.400000000000002 3.24489937543373 NA NA NA NA NA NA NA NA 5.42 1.32 1.3 0.570363207 0.524 0 0.892204661 6.0090375355435 -0.0306494130126777 -0.0169680909935716 -0.0149376565885709 -0.00402313669763446 -0.0196596178778974 0.033807857052164 0.0160412591668234 -0.00413478172448384 -0.0165613397411626 -0.000520002650523558 M NA NA NA NA NA
