gene_id,chrom,bias_direction,fold-change,entrez_gene_id
ENSGACG00000000043,scaffold_243,F,>1.5,9413
ENSGACG00000000048,scaffold_757,M,>1.5,0
ENSGACG00000000065,scaffold_99,M,>2,2199
ENSGACG00000000102,scaffold_95,F,>2,4342
ENSGACG00000000190,scaffold_374,M,>1.5,NA
ENSGACG00000000242,scaffold_175,M,>2,130340
ENSGACG00000000251,scaffold_175,M,>1.5,23704
ENSGACG00000000261,scaffold_175,F,>1.2,10056
ENSGACG00000000278,scaffold_114,F,>1.2,9283
ENSGACG00000000296,scaffold_114,F,>1.5,0
ENSGACG00000000309,scaffold_27,F,>1.5,26354
ENSGACG00000000373,scaffold_131,F,>1.2,54853
ENSGACG00000000428,scaffold_80,F,>1.5,91646
ENSGACG00000000469,scaffold_80,F,>1.5,6605
ENSGACG00000000555,scaffold_27,M,>2,6821
ENSGACG00000000590,scaffold_90,F,>1.2,NA
ENSGACG00000000618,scaffold_27,M,>1.5,4035
ENSGACG00000000649,scaffold_205,M,>3,NA
ENSGACG00000000713,scaffold_27,M,>1.2,2583
ENSGACG00000000741,scaffold_27,F,>1.2,NA
ENSGACG00000000766,scaffold_27,M,>1.2,152273
ENSGACG00000000768,scaffold_47,M,>1.5,94031
ENSGACG00000000823,scaffold_27,M,>1.5,7867
ENSGACG00000000824,scaffold_27,M,>1.2,131669
ENSGACG00000000836,scaffold_27,M,>2,389119
ENSGACG00000000856,scaffold_197,F,>1.5,54606
ENSGACG00000000877,scaffold_47,F,>1.5,54914
ENSGACG00000000882,scaffold_27,F,>3,2876
ENSGACG00000000884,scaffold_27,F,>1.5,2177
ENSGACG00000000892,scaffold_47,F,>1.2,93587
ENSGACG00000000923,scaffold_157,M,>1.2,4881
ENSGACG00000000930,scaffold_27,F,>1.2,25917
ENSGACG00000000963,scaffold_27,F,>1.2,1434
ENSGACG00000000966,scaffold_47,F,>1.2,84448
ENSGACG00000000969,scaffold_47,F,>1.2,29063
ENSGACG00000000972,scaffold_37,F,>1.5,55915
ENSGACG00000000980,scaffold_27,F,>1.2,55193
ENSGACG00000000989,scaffold_27,F,>1.5,0
ENSGACG00000000990,scaffold_27,F,>1.2,3664
ENSGACG00000001071,scaffold_121,M,>2,0
ENSGACG00000001081,scaffold_150,F,>1.5,84549
ENSGACG00000001108,scaffold_150,F,>1.2,10105
ENSGACG00000001115,scaffold_121,M,>1.5,3764
ENSGACG00000001143,scaffold_27,M,>1.2,9696
ENSGACG00000001171,scaffold_27,M,>1.5,54751
ENSGACG00000001211,scaffold_27,M,>1.5,23254
ENSGACG00000001237,scaffold_27,F,>1.2,27154
ENSGACG00000001261,scaffold_224,M,>2,1573
ENSGACG00000001420,scaffold_115,M,>2,64091
ENSGACG00000001423,scaffold_115,M,>1.5,51365
ENSGACG00000001438,groupXVI,F,>1.2,NA
ENSGACG00000001446,groupXVI,M,>1.5,54020
ENSGACG00000001460,scaffold_111,F,>1.5,0
ENSGACG00000001482,scaffold_111,M,>3,NA
ENSGACG00000001488,groupXVI,F,>1.2,NA
ENSGACG00000001513,scaffold_27,F,>1.2,54991
ENSGACG00000001541,no longer in ensembl,F,>1.5,NA
ENSGACG00000001551,groupXVI,F,>1.5,84365
ENSGACG00000001563,groupXVI,F,>1.2,8886
ENSGACG00000001573,scaffold_27,M,>2,3700
ENSGACG00000001609,groupXVI,M,>1.5,1293
ENSGACG00000001672,scaffold_27,F,>1.5,51154
ENSGACG00000001700,groupXXI,M,>1.5,3688
