transcript,effect_sex,pvalue_sex,fdr_sex
ENSGACT00000000005,0.222,0.014,0.122
ENSGACT00000000007,0.236,0.010,0.097
ENSGACT00000000008,-0.129,0.404,0.708
ENSGACT00000000011,-0.204,0.001,0.014
ENSGACT00000000013,0.340,0.001,0.014
ENSGACT00000000015,0.041,0.404,0.708
ENSGACT00000000016,0.319,0.001,0.014
ENSGACT00000000018,-0.057,0.448,0.783
ENSGACT00000000021,0.019,0.508,0.816
ENSGACT00000000022,0.111,0.068,0.271
ENSGACT00000000025,-0.016,0.770,0.947
ENSGACT00000000033,-0.007,0.842,1.000
ENSGACT00000000034,0.027,0.528,0.816
ENSGACT00000000035,0.145,0.016,0.122
ENSGACT00000000041,0.281,0.028,0.163
ENSGACT00000000043,-0.267,0.002,0.043
ENSGACT00000000046,-0.061,0.408,0.708
ENSGACT00000000047,-0.173,0.092,0.343
ENSGACT00000000048,0.247,0.054,0.266
ENSGACT00000000050,-0.139,0.010,0.097
ENSGACT00000000053,-0.153,0.050,0.254
ENSGACT00000000058,-0.471,0.001,0.014
ENSGACT00000000062,0.222,0.002,0.043
ENSGACT00000000063,0.284,0.001,0.014
ENSGACT00000000075,-0.156,0.020,0.152
ENSGACT00000000076,0.663,0.001,0.014
ENSGACT00000000078,0.024,0.944,1.000
ENSGACT00000000080,-0.051,0.224,0.545
ENSGACT00000000082,0.035,0.838,1.000
ENSGACT00000000083,-0.190,0.004,0.068
ENSGACT00000000084,0.415,0.001,0.014
ENSGACT00000000087,-0.027,0.644,0.816
ENSGACT00000000088,-0.037,0.992,1.000
ENSGACT00000000093,0.893,0.001,0.014
ENSGACT00000000096,-0.139,0.026,0.161
ENSGACT00000000100,0.002,0.960,1.000
ENSGACT00000000101,0.047,0.598,0.816
ENSGACT00000000102,0.117,0.092,0.343
ENSGACT00000000106,-0.265,0.001,0.014
ENSGACT00000000107,0.012,0.854,1.000
ENSGACT00000000108,0.033,0.590,0.816
ENSGACT00000000109,0.318,0.001,0.014
ENSGACT00000000113,-0.053,0.534,0.816
ENSGACT00000000115,0.113,0.310,0.641
ENSGACT00000000117,0.079,0.424,0.783
ENSGACT00000000120,0.130,0.032,0.191
ENSGACT00000000125,0.034,0.818,1.000
ENSGACT00000000126,0.183,0.048,0.254
ENSGACT00000000127,-0.040,0.872,1.000
ENSGACT00000000128,0.414,0.001,0.014
ENSGACT00000000129,-0.225,0.030,0.183
ENSGACT00000000130,-0.214,0.001,0.014
ENSGACT00000000132,0.188,0.258,0.545
ENSGACT00000000133,0.025,0.838,1.000
ENSGACT00000000135,0.237,0.092,0.343
ENSGACT00000000142,-0.590,0.001,0.014
ENSGACT00000000163,-0.012,0.672,0.862
ENSGACT00000000166,0.153,0.464,0.783
ENSGACT00000000181,0.077,0.716,0.883
ENSGACT00000000184,-0.081,0.488,0.783
ENSGACT00000000193,0.090,0.792,1.000
ENSGACT00000000198,-0.051,0.780,1.000
ENSGACT00000000206,0.411,0.001,0.014
ENSGACT00000000214,-0.024,0.898,1.000
ENSGACT00000000218,-0.081,0.954,1.000
ENSGACT00000000219,0.062,0.306,0.641
ENSGACT00000000220,-0.071,0.094,0.343
ENSGACT00000000221,-0.123,0.006,0.068
ENSGACT00000000232,-0.205,0.196,0.545
ENSGACT00000000237,0.013,0.652,0.862
ENSGACT00000000241,0.051,0.310,0.641
