gene_id,bias_amount,bias_direction
ENSGACG00000000061,-1.1,
ENSGACG00000000231,-1.4,
ENSGACG00000000279,1.2,
ENSGACG00000000351,1.6,
ENSGACG00000000440,1.0,
ENSGACG00000000447,-2.0,M
ENSGACG00000000474,1.2,
ENSGACG00000000590,-1.3,
ENSGACG00000000741,1.2,
ENSGACG00000000746,1.7,
ENSGACG00000000759,,
ENSGACG00000000824,-1.1,
ENSGACG00000000860,-1.0,
ENSGACG00000000870,-2.7,
ENSGACG00000000882,,F
ENSGACG00000001015,-2.3,
ENSGACG00000001108,1.2,
ENSGACG00000001113,-1.2,
ENSGACG00000001133,-1.2,
ENSGACG00000001147,,
ENSGACG00000001271,1.2,
ENSGACG00000001300,-1.8,M
ENSGACG00000001512,,
ENSGACG00000001640,-1.2,
ENSGACG00000001637,-1.4,
ENSGACG00000001940,-1.2,
ENSGACG00000002010,-1.1,
ENSGACG00000002042,-1.5,
ENSGACG00000002035,1.0,
ENSGACG00000002088,-1.1,
ENSGACG00000002118,-1.0,
ENSGACG00000002172,,
ENSGACG00000002200,-1.3,
ENSGACG00000002204,-1.1,
ENSGACG00000002182,-1.1,
ENSGACG00000002198,-1.1,
ENSGACG00000002233,1.1,
ENSGACG00000002408,1.6,
ENSGACG00000002457,-1.2,
ENSGACG00000002512,1.1,
ENSGACG00000002559,-2.2,M
ENSGACG00000002591,1.1,
ENSGACG00000002666,-1.3,
ENSGACG00000002699,1.3,
ENSGACG00000002767,-1.1,
ENSGACG00000002813,-1.3,
ENSGACG00000002835,-1.1,
ENSGACG00000003056,1.2,
ENSGACG00000003052,-2.1,
ENSGACG00000003068,1.6,
ENSGACG00000003077,-1.4,
ENSGACG00000003110,1.3,
ENSGACG00000003133,1.6,
ENSGACG00000003205,-1.1,
ENSGACG00000003250,1.1,
ENSGACG00000003259,,
ENSGACG00000003266,1.7,
ENSGACG00000003288,1.2,
ENSGACG00000003336,1.1,
ENSGACG00000003451,,
ENSGACG00000003457,1.0,
ENSGACG00000003426,-1.3,
ENSGACG00000003476,1.2,
ENSGACG00000003471,1.1,
ENSGACG00000003491,1.4,
ENSGACG00000003509,1.8,F
ENSGACG00000003522,1.3,
ENSGACG00000003574,1.3,
ENSGACG00000003572,,
ENSGACG00000003628,1.0,
ENSGACG00000003641,-1.4,
ENSGACG00000003794,-1.1,
ENSGACG00000003895,1.2,
ENSGACG00000003908,1.0,
ENSGACG00000003800,1.0,
ENSGACG00000003995,-1.1,
ENSGACG00000004055,1.3,
ENSGACG00000004015,-1.6,
ENSGACG00000004119,-1.3,
ENSGACG00000004372,1.1,
ENSGACG00000004463,,
ENSGACG00000004497,-1.1,
ENSGACG00000004528,1.3,
ENSGACG00000004582,-1.7,
ENSGACG00000004648,-1.1,
ENSGACG00000004699,-1.3,
ENSGACG00000004710,-2.5,M
ENSGACG00000004737,,
ENSGACG00000004785,-2.3,
ENSGACG00000004926,1.0,
ENSGACG00000004960,1.2,
ENSGACG00000004968,-1.1,
ENSGACG00000004999,-1.0,
ENSGACG00000005083,-2.2,
ENSGACG00000005040,1.1,
ENSGACG00000005112,1.7,
ENSGACG00000005189,1.4,
ENSGACG00000005260,-1.2,
ENSGACG00000005421,-1.6,
ENSGACG00000005599,1.6,
ENSGACG00000005598,-1.1,
ENSGACG00000005690,,
ENSGACG00000005701,,
ENSGACG00000005698,-1.6,
ENSGACG00000005705,1.7,
ENSGACG00000005752,-1.1,
ENSGACG00000005837,-1.3,
ENSGACG00000005952,-1.4,
ENSGACG00000005956,-1.3,
ENSGACG00000005975,1.1,
ENSGACG00000006018,-1.3,
ENSGACG00000006034,-1.2,
ENSGACG00000006057,-1.6,
ENSGACG00000006029,-1.2,
ENSGACG00000006070,-1.6,
ENSGACG00000006087,1.1,
ENSGACG00000006059,-1.1,
ENSGACG00000006029,,
ENSGACG00000006096,1.1,
ENSGACG00000006229,-1.3,
ENSGACG00000006242,-1.4,
ENSGACG00000006410,-1.5,
ENSGACG00000006418,-1.1,
ENSGACG00000006428,1.0,
ENSGACG00000006489,1.8,
ENSGACG00000006523,-1.2,
ENSGACG00000006579,-1.2,
ENSGACG00000006703,1.2,
ENSGACG00000006818,1.7,F
ENSGACG00000006855,-1.1,
ENSGACG00000007033,1.1,
ENSGACG00000006964,-1.8,
ENSGACG00000007164,1.0,
ENSGACG00000007238,1.3,
ENSGACG00000007323,1.3,
ENSGACG00000007411,,M
ENSGACG00000007422,,
ENSGACG00000007328,-1.1,
ENSGACG00000007396,-1.0,
ENSGACG00000007518,1.0,
ENSGACG00000007534,-2.4,
ENSGACG00000007567,1.0,
ENSGACG00000007655,1.1,
ENSGACG00000007692,-1.2,
ENSGACG00000007752,1.6,
ENSGACG00000007744,1.3,
ENSGACG00000007764,,
ENSGACG00000007836,-1.0,
ENSGACG00000007961,-1.2,
ENSGACG00000007957,-1.1,
ENSGACG00000007990,-1.2,
ENSGACG00000008021,-1.3,
ENSGACG00000008265,1.4,
ENSGACG00000008262,-1.6,
ENSGACG00000008496,1.5,
ENSGACG00000008662,-1.4,
ENSGACG00000008736,-1.0,
ENSGACG00000008812,-1.1,
ENSGACG00000008783,1.2,
ENSGACG00000008944,-1.3,
ENSGACG00000008860,-1.3,
ENSGACG00000009022,1.3,
ENSGACG00000009000,1.2,
ENSGACG00000009167,-1.1,
ENSGACG00000009200,4.0,
ENSGACG00000009310,-1.2,
ENSGACG00000009387,1.2,
ENSGACG00000009382,-2.5,M
ENSGACG00000009463,-1.9,
ENSGACG00000009586,1.3,
ENSGACG00000009637,-3.3,
ENSGACG00000009623,3.2,F
ENSGACG00000009633,-2.7,
ENSGACG00000009640,-1.2,
ENSGACG00000009687,-1.3,
ENSGACG00000009814,1.1,
ENSGACG00000009903,,
ENSGACG00000009937,-1.7,
ENSGACG00000009950,-1.1,
ENSGACG00000010016,,F
ENSGACG00000009964,-1.4,
ENSGACG00000010067,1.2,
ENSGACG00000010070,-1.8,
ENSGACG00000010146,-1.4,
ENSGACG00000010227,-1.0,
ENSGACG00000010219,-1.3,
ENSGACG00000010408,-1.1,
ENSGACG00000010517,1.4,
ENSGACG00000010550,1.1,
ENSGACG00000010733,1.6,
ENSGACG00000010905,-1.6,
