trait	common_mean	common_sd	common_n	white_mean	white_sd	white_n	cohens_d	sxs_f	sxs_p_value	pval_species_cor
body_depth2	1.24	0.13	161	0.98	0.14	73	-1.91	F1,136 = 4.83	0.0296303393730485	0.17778204
spine_pelvic	0.83	0.13	157	0.68	0.12	72	-1.14	F1,132 = 3.16	0.0776182482171418	0.17778204
spine_dorsal2	0.56	0.14	226	0.49	0.09	131	-0.55	F1,132 = 2.46	0.118848160813633	0.17778204
spine_dorsal1	0.51	0.16	226	0.44	0.12	131	-0.52	F1,132 = 1.17	0.280857742845097	0.17778204
luminance_mean	474.81	38.91	166	491.7	49.99	73	0.4	F1,134 = 1.8	0.182316042361093	0.17778204
spine_dorsal3	0.16	0.06	160	0.15	0.05	72	-0.23	F1,135 = 2.13	0.146388564198586	0.17778204
egg_number	86.28	25.43	36	50.52	17.46	23	-1.58	NA	NA	0.17778204
testis_weight	0.78	0.24	53	0.55	0.13	31	-1.12	NA	NA	0.17778204
egg_diameter_mean	1.23	0.28	36	1.32	0.17	23	0.35	NA	NA	0.17778204
raker_long_count	20.26	1.5	70	20.83	1.42	59	0.39	NA	NA	0.17778204
raker_short_count	15.14	1.09	70	15.44	0.93	59	0.29	NA	NA	0.17778204
ventral_rakers	24.64	1.4	70	24.78	1.27	59	0.1	NA	NA	0.17778204
dorsal_rakers	7.8	0.97	70	7.81	0.99	59	0.01	NA	NA	0.17778204
