trait	common_mean	common_sd	common_n	white_mean	white_sd	white_n	cohens_d	joint_sex	test_type	test_species_uncor	pval_species_uncor	test_species_cor	pval_species_cor
body_depth1	1.23	0.12	161	0.95	0.12	73	-2.29	10.06_1_0.00171872385431304	Gaussian, ANOVA	F1,231 = 275.06	0	F1,230 = 0.71	0.48734216
body_depth2	1.24	0.13	161	0.98	0.14	73	-1.91	40.59_1_1.00446610591169e-09	Gaussian, ANOVA	F1,231 = 214.85	0	F1,230 = 0.58	0.52660907
testis_length_mean	5.97	0.95	53	4.47	0.83	31	-1.65	NA	Gaussian, ANOVA	FNA,NA = NA	NA	NA	NA
egg_number	86.28	25.43	36	50.52	17.46	23	-1.58	NA	Poisson, ANODE	NA	NA	NA	NA
std_length	4.86	0.84	230	3.76	0.58	132	-1.45	9.61_1_0.00217501749704971	Gaussian, ANOVA	F1,231 = 311.18	0	NA	NA
spine_pelvic	0.83	0.13	157	0.68	0.12	72	-1.14	0.07_1_0.798313810024912	Gaussian, ANOVA	F1,226 = 63.71	0	F1,225 = 7.59	0.01496736
testis_weight	0.78	0.24	53	0.55	0.13	31	-1.12	NA	Gaussian, ANOVA	FNA,NA = NA	NA	NA	NA
testis_width_mean	1.28	0.21	53	1.11	0.2	31	-0.82	NA	Gaussian, ANOVA	FNA,NA = NA	NA	NA	NA
isotope_d13C	-19.2	1.1	71	-18.45	0.89	44	0.73	20.2_1_1.70955656301399e-05	Gaussian, ANOVA	F1,112 = 17.5	0.00026982	F1,108 = 0	0.96695968
PC3	0	0.01	122	0	0.01	70	-0.58	0.07_1_0.798930682606251	Gaussian, ANOVA	F1,189 = 14.69	0.0007102	F1,188 = 0.23	0.65069924
spine_dorsal2	0.56	0.14	226	0.49	0.09	131	-0.55	1.08_1_0.300461149074311	Gaussian, ANOVA	F1,225 = 42.24	0	F1,224 = 2.98	0.1281772
spine_dorsal1	0.51	0.16	226	0.44	0.12	131	-0.52	0.17_1_0.684958601147191	Gaussian, ANOVA	F1,225 = 54.38	0	F1,224 = 4.92	0.06051904
isotope_CN_ratio	3.28	0.07	71	3.31	0.06	44	0.4	0.08_1_0.772109460163883	Gaussian, ANOVA	F1,112 = 4.42	0.07390596	F1,108 = 3.18	0.12760701
luminance_mean	474.81	38.91	166	491.7	49.99	73	0.4	0.66_1_0.417274949440642	Gaussian, ANOVA	F1,232 = 7.7	0.01496736	F1,228 = 1.16	0.35809628
PC1	0	0.03	122	0.01	0.02	70	0.4	29.53_1_1.68645457109614e-07	Gaussian, ANOVA	F1,189 = 8.42	0.01141718	F1,188 = 0.29	0.63169041
raker_long_count	20.26	1.5	70	20.83	1.42	59	0.39	NA	Poisson, ANODE	NA	NA	NA	NA
plate_count	31.41	1.01	70	31.02	1.12	59	-0.37	NA	Poisson, ANODE	NA	NA	NA	NA
egg_diameter_mean	1.23	0.28	36	1.32	0.17	23	0.35	NA	Gaussian, ANOVA	FNA,NA = NA	NA	NA	NA
PC2	0	0.02	122	0	0.02	70	-0.32	275.61_1_9.13882064419675e-39	Gaussian, ANOVA	F1,189 = 10.44	0.00533789	F1,188 = 8.91	0.00966012
PC6	0	0.01	122	0	0.01	70	-0.31	0.11_1_0.741130595140092	Gaussian, ANOVA	F1,189 = 4.36	0.07390596	F1,188 = 9.34	0.00846386
PC4	0	0.01	122	0	0.01	70	0.3	0.46_1_0.499605226653985	Gaussian, ANOVA	F1,189 = 3.99	0.08219075	F1,188 = 1.96	0.21579814
raker_short_count	15.14	1.09	70	15.44	0.93	59	0.29	NA	Poisson, ANODE	NA	NA	NA	NA
egg_weight	2.83	1.39	36	2.53	0.57	23	-0.26	NA	Gaussian, ANOVA	FNA,NA = NA	NA	NA	NA
PC5	0	0.01	122	0	0.01	70	-0.26	6.68_1_0.0104807770743892	Gaussian, ANOVA	F1,189 = 3.07	0.12788336	F1,188 = 2.77	0.14050332
spine_dorsal3	0.16	0.06	160	0.15	0.05	72	-0.23	0.08_1_0.782064280259061	Gaussian, ANOVA	F1,229 = 2.64	0.14492219	F1,228 = 0.48	0.53857989
isotope_d15N	12.87	1.29	71	13.05	1.44	44	0.13	4.08_1_0.0457210389308843	Gaussian, ANOVA	F1,112 = 0.54	0.52765523	F1,108 = 4.06	0.08219075
egg_diameter_sd	0.1	0.08	36	0.1	0.08	23	-0.09	NA	Gaussian, ANOVA	FNA,NA = NA	NA	NA	NA
