id pop sex pop_cluster cluster
AL1_2014 AL F AL_cmn cmn
AL11_2014 AL F AL_cmn cmn
AL12_2014 AL M AL_cmn cmn
AL13_2014 AL F AL_cmn cmn
AL14_2014 AL F AL_cmn cmn
AL2_2014 AL F AL_cmn cmn
AL21_2014 AL M AL_cmn cmn
AL22_2014 AL M AL_cmn cmn
AL23_2014 AL M AL_cmn cmn
AL24_2014 AL M AL_cmn cmn
AL29_2014 AL M AL_cmn cmn
AL3_2014 AL F AL_cmn cmn
AL32_2014 AL M AL_cmn cmn
AL5_2014 AL F AL_cmn cmn
AL6_2014 AL M AL_cmn cmn
AL7_2014 AL F AL_cmn cmn
BR18_2014 BR F BR_cbr cbr
BR19_2014 BR M BR_cbr cbr
BR20_2014 BR F BR_cbr cbr
BR21_2014 BR M BR_cbr cbr
BR23_2014 BR F BR_cbr cbr
BR24_2014 BR M BR_cbr cbr
BR25_2014 BR F BR_cbr cbr
BR26_2014 BR F BR_cbr cbr
BR28_2014 BR F BR_cbr cbr
BR29_2014 BR M BR_cbr cbr
BR31_2014 BR M BR_cbr cbr
BR32_2014 BR M BR_cbr cbr
BR33_2014 BR F BR_cbr cbr
BR36_2014 BR M BR_cbr cbr
BR37_2014 BR F BR_cbr cbr
CL11_2014 CL F CL_cmn cmn
CL12_2014 CL F CL_cmn cmn
CL17_2014 CL F CL_cmn cmn
CL19_2014 CL M CL_wht wht
CL21_2014 CL M CL_wht wht
CL23_2014 CL M CL_cmn cmn
CL24_2014 CL F CL_cmn cmn
CL25_2014 CL M CL_wht wht
CL27_2014 CL F CL_cmn cmn
CL28_2014 CL M CL_cmn cmn
CL29_2014 CL M CL_wht wht
CL31_2014 CL F CL_wht wht
CL33_2014 CL F CL_wht wht
CL38_2014 CL F CL_cmn cmn
CL39_2014 CL M CL_wht wht
CL40_2014 CL F CL_wht wht
CL41_2014 CL F CL_wht wht
CL42_2014 CL M CL_wht wht
CL43_2014 CL F CL_cmn cmn
CL45_2014 CL M CL_wht wht
CL47_2014 CL F CL_wht wht
CL50_2014 CL F CL_cmn cmn
CL53_2014 CL F CL_cmn cmn
CL54_2014 CL F CL_wht wht
CL56_2014 CL F CL_wht wht
CL58_2014 CL F CL_cmn cmn
CL63_2014 CL F CL_wht wht
CL64_2014 CL M CL_wht wht
CL9_2014 CL F CL_cmn cmn
CPN10_2014 CPN F CPN_cmn cmn
CPN12_2014 CPN M CPN_cmn cmn
CPN13_2014 CPN M CPN_cmn cmn
CPN15_2014 CPN F CPN_cmn cmn
CPN17_2014 CPN M CPN_cmn cmn
CPN19_2014 CPN F CPN_cmn cmn
CPN20_2014 CPN M CPN_cmn cmn
CPN23_2014 CPN M CPN_cmn cmn
CPN25_2014 CPN F CPN_cmn cmn
CPN27_2014 CPN F CPN_cmn cmn
CPN28_2014 CPN F CPN_cmn cmn
CPN33_2014 CPN M CPN_cmn cmn
CPN35_2014 CPN F CPN_cmn cmn
CPN6_2014 CPN F CPN_cmn cmn
CPN8_2014 CPN M CPN_cmn cmn
CPN9_2014 CPN M CPN_cmn cmn
CPSE11_2014 CPSE F CPSE_cmn cmn
CPSE12_2014 CPSE M CPSE_cmn cmn
CPSE15_2014 CPSE F CPSE_cmn cmn
CPSE16_2014 CPSE F CPSE_cmn cmn
CPSE19_2014 CPSE F CPSE_cmn cmn
CPSE2_2014 CPSE M CPSE_cmn cmn
CPSE20_2014 CPSE M CPSE_cmn cmn
CPSE21_2014 CPSE M CPSE_cmn cmn
CPSE23_2014 CPSE F CPSE_cmn cmn
CPSE25_2014 CPSE M CPSE_cmn cmn
CPSE32_2014 CPSE M CPSE_cmn cmn
CPSE33_2014 CPSE M CPSE_cmn cmn
CPSE34_2014 CPSE F CPSE_cmn cmn
CPSE38_2014 CPSE M CPSE_cmn cmn
CPSE9_2014 CPSE F CPSE_cmn cmn
GC1_2014 GC F GC_cbr cbr
GC10_2014 GC M GC_cbr cbr
GC12_2014 GC F GC_cbr cbr
GC14_2014 GC F GC_cbr cbr
GC15_2014 GC M GC_cbr cbr
GC16_2014 GC M GC_cbr cbr
GC18_2014 GC F GC_cbr cbr
GC19_2014 GC M GC_cbr cbr
GC2_2014 GC F GC_cbr cbr
GC21_2014 GC M GC_cbr cbr
GC24_2014 GC M GC_cbr cbr
GC28_2014 GC F GC_cbr cbr
GC30_2014 GC F GC_cbr cbr
GC31_2014 GC M GC_cbr cbr
GC32_2014 GC M GC_cbr cbr
GC36_2014 GC M GC_cbr cbr
GC38_2014 GC M GC_cbr cbr
GC4_2014 GC F GC_cbr cbr
GC40_2014 GC F GC_cbr cbr
GC45_2014 GC F GC_cbr cbr
GC7_2014 GC M GC_cbr cbr
GC9_2014 GC M GC_cbr cbr
LN1_2014 LN M LN_cbr cbr
LN10_2014 LN M LN_cbr cbr
LN11_2014 LN M LN_cbr cbr
LN12_2014 LN M LN_cbr cbr
