chr pos1 pos2 transcript gene_pos1 gene_pos2 fst_outlier_adj gene
1 1 74999 ENSGACT00000005823 2098 9910 FALSE ENSGACG00000004395
1 1 74999 ENSGACT00000005825 18791 22890 FALSE ENSGACG00000004403
1 1 74999 ENSGACT00000005829 36880 38991 FALSE ENSGACG00000004405
1 1 74999 ENSGACT00000005834 42006 46064 FALSE ENSGACG00000004408
1 1 74999 ENSGACT00000005840 65279 68049 FALSE ENSGACG00000004413
1 1 74999 ENSGACT00000005856 69460 74548 FALSE ENSGACG00000004417
1 1 74999 ENSGACT00000005861 69474 74583 FALSE ENSGACG00000004417
1 75001 149999 ENSGACT00000005883 77722 105198 FALSE ENSGACG00000004438
1 75001 149999 ENSGACT00000005908 117583 141390 FALSE ENSGACG00000004458
1 75001 149999 ENSGACT00000005913 131416 140761 FALSE ENSGACG00000004458
1 150001 224999 ENSGACT00000005918 150455 155372 FALSE ENSGACG00000004479
1 150001 224999 ENSGACT00000005923 153069 155289 FALSE ENSGACG00000004479
1 150001 224999 ENSGACT00000005926 153165 155401 FALSE ENSGACG00000004479
1 150001 224999 ENSGACT00000005939 169269 179484 FALSE ENSGACG00000004487
1 150001 224999 ENSGACT00000005946 184803 198423 FALSE ENSGACG00000004499
1 150001 224999 ENSGACT00000005963 199995 206656 FALSE ENSGACG00000004504
1 150001 224999 ENSGACT00000005970 200000 206664 FALSE ENSGACG00000004504
1 150001 224999 ENSGACT00000005978 200012 206700 FALSE ENSGACG00000004504
1 150001 224999 ENSGACT00000005986 208356 211604 FALSE ENSGACG00000004524
1 150001 224999 ENSGACT00000005993 217115 219753 FALSE ENSGACG00000004531
1 150001 224999 ENSGACT00000005995 221929 222979 FALSE ENSGACG00000004535
1 225001 299999 ENSGACT00000006026 229192 236145 FALSE ENSGACG00000004539
1 225001 299999 ENSGACT00000006040 229195 236148 FALSE ENSGACG00000004539
1 225001 299999 ENSGACT00000006063 244666 253839 FALSE ENSGACG00000004570
1 225001 299999 ENSGACT00000006074 257080 258329 FALSE ENSGACG00000004589
1 225001 299999 ENSGACT00000006080 278700 280024 FALSE ENSGACG00000004599
1 225001 299999 ENSGACT00000006084 295708 297034 FALSE ENSGACG00000004603
1 225001 299999 ENSGACT00000006087 295708 296794 FALSE ENSGACG00000004603
1 300001 374999 ENSGACT00000006089 313269 314198 FALSE ENSGACG00000004606
1 300001 374999 ENSGACT00000006094 317672 318592 FALSE ENSGACG00000004608
1 300001 374999 ENSGACT00000006097 323141 324782 FALSE ENSGACG00000004611
1 300001 374999 ENSGACT00000006105 335191 338492 FALSE ENSGACG00000004612
1 300001 374999 ENSGACT00000006112 356280 359332 FALSE ENSGACG00000004619
1 300001 374999 ENSGACT00000006119 356909 358285 FALSE ENSGACG00000004619
1 300001 374999 ENSGACT00000006124 363799 365223 FALSE ENSGACG00000004628
1 300001 374999 ENSGACT00000006129 369110 371418 FALSE ENSGACG00000004631
1 300001 374999 ENSGACT00000006132 372834 374001 FALSE ENSGACG00000004636
1 375001 449999 ENSGACT00000006145 380274 381945 FALSE ENSGACG00000004639
1 375001 449999 ENSGACT00000006151 382188 383538 FALSE ENSGACG00000004650
1 375001 449999 ENSGACT00000006177 384897 395887 FALSE ENSGACG00000004656
