CHROM	BIN_START	BIN_END	N_VARIANTS	PI
chrI	1	75000	33	2.93521e-05
chrI	75001	150000	37	4.73274e-05
chrI	150001	225000	40	3.94233e-05
chrI	225001	300000	23	6.29507e-05
chrI	300001	375000	72	7.20192e-05
chrI	375001	450000	36	3.3403e-05
chrI	450001	525000	13	1.04654e-05
chrI	600001	675000	28	1.63682e-05
chrI	675001	750000	22	2.28491e-05
chrI	750001	825000	18	3.65448e-05
chrI	825001	900000	60	8.75962e-05
chrI	900001	975000	32	4.19109e-05
chrI	975001	1050000	16	1.20101e-05
chrI	1050001	1125000	22	2.25065e-05
chrI	1125001	1200000	40	5.88999e-05
chrI	1200001	1275000	11	1.59259e-05
chrI	1275001	1350000	45	5.05703e-05
chrI	1350001	1425000	39	3.27287e-05
chrI	1425001	1500000	53	7.72837e-05
chrI	1500001	1575000	31	5.52958e-05
chrI	1575001	1650000	16	1.10713e-05
chrI	1650001	1725000	31	3.07008e-05
chrI	1725001	1800000	25	3.89917e-05
chrI	1800001	1875000	58	7.93961e-05
chrI	1875001	1950000	18	2.21769e-05
chrI	1950001	2025000	31	5.39871e-05
chrI	2025001	2100000	24	1.01106e-05
chrI	2100001	2175000	37	3.46434e-05
chrI	2175001	2250000	27	2.77606e-05
chrI	2250001	2325000	24	2.52683e-05
chrI	2325001	2400000	36	4.5704e-05
chrI	2400001	2475000	26	3.94258e-05
chrI	2475001	2550000	48	7.05967e-05
chrI	2550001	2625000	27	5.43766e-05
chrI	2625001	2700000	35	4.76574e-05
chrI	2700001	2775000	48	7.39163e-05
chrI	2775001	2850000	32	5.40331e-05
chrI	2850001	2925000	44	7.20928e-05
chrI	2925001	3000000	43	4.63749e-05
chrI	3000001	3075000	41	4.68275e-05
chrI	3075001	3150000	51	7.27799e-05
chrI	3150001	3225000	47	0.000113568
chrI	3225001	3300000	15	2.15984e-05
chrI	3300001	3375000	27	1.84006e-05
chrI	3375001	3450000	24	3.59878e-05
chrI	3450001	3525000	22	1.45582e-05
chrI	3525001	3600000	16	1.98546e-05
chrI	3600001	3675000	18	4.72604e-05
chrI	3675001	3750000	50	7.41354e-05
chrI	3750001	3825000	18	2.93955e-05
chrI	3825001	3900000	17	4.16078e-05
chrI	3900001	3975000	36	5.03661e-05
chrI	3975001	4050000	28	1.79045e-05
chrI	4050001	4125000	21	2.71055e-05
chrI	4125001	4200000	33	2.42177e-05
chrI	4200001	4275000	31	4.564e-05
chrI	4275001	4350000	38	8.69697e-05
chrI	4350001	4425000	63	0.0001164
chrI	4425001	4500000	60	8.37823e-05
chrI	4500001	4575000	32	3.19082e-05
chrI	4575001	4650000	47	6.66537e-05
chrI	4650001	4725000	23	2.93576e-05
chrI	4725001	4800000	57	0.000103854
chrI	4800001	4875000	13	9.24849e-06
chrI	4875001	4950000	19	4.08485e-05
chrI	4950001	5025000	21	5.21098e-05
chrI	5025001	5100000	24	3.38219e-05
