CHROM	BIN_START	N_SNPS	TajimaD
chrI	0	52	-1.72948
chrI	75000	54	-1.64429
chrI	150000	49	-1.32126
chrI	225000	32	0.183947
chrI	300000	80	-1.56234
chrI	375000	38	-1.71157
chrI	450000	13	-1.30869
chrI	525000	0	nan
chrI	600000	50	-2.48718
chrI	675000	16	-0.669587
chrI	750000	21	-0.235158
chrI	825000	69	-0.77007
chrI	900000	40	-1.34146
chrI	975000	26	-1.6969
chrI	1050000	30	-1.66562
chrI	1125000	53	-0.492348
chrI	1200000	26	-1.83295
chrI	1275000	49	-1.22623
chrI	1350000	41	-1.49196
chrI	1425000	60	-0.531355
chrI	1500000	33	-0.0548007
chrI	1575000	16	-1.58875
chrI	1650000	48	-1.81463
chrI	1725000	34	-1.27462
chrI	1800000	66	-0.601281
chrI	1875000	29	-1.31425
chrI	1950000	40	-0.878842
chrI	2025000	14	-1.6622
chrI	2100000	40	-1.63581
chrI	2175000	31	-1.55713
chrI	2250000	34	-1.62648
chrI	2325000	49	-1.72535
chrI	2400000	38	-1.31368
chrI	2475000	63	-1.21414
chrI	2550000	36	-0.681043
chrI	2625000	41	-0.864815
chrI	2700000	51	-0.396664
chrI	2775000	33	-0.00856108
chrI	2850000	52	-0.760787
chrI	2925000	55	-1.60501
chrI	3000000	40	-0.309045
chrI	3075000	67	-1.40729
chrI	3150000	70	-0.433798
chrI	3225000	19	-0.911675
chrI	3300000	31	-1.57972
chrI	3375000	35	-1.03107
chrI	3450000	22	-1.45007
chrI	3525000	26	-1.52881
chrI	3600000	22	0.581858
chrI	3675000	63	-1.12632
chrI	3750000	19	-0.638846
chrI	3825000	22	-0.200712
chrI	3900000	40	-0.933228
chrI	3975000	30	-1.4244
chrI	4050000	30	-0.807872
chrI	4125000	31	-1.83432
chrI	4200000	48	-1.59024
chrI	4275000	43	-0.245466
chrI	4350000	68	-0.691904
chrI	4425000	78	-1.07489
chrI	4500000	47	-1.90014
chrI	4575000	65	-1.55093
chrI	4650000	29	-1.46152
chrI	4725000	59	-0.430784
chrI	4800000	17	-1.81979
chrI	4875000	22	0.348609
chrI	4950000	24	0.384419
chrI	5025000	24	-0.342277
chrI	5100000	17	-1.9684
chrI	5175000	38	-1.74342
chrI	5250000	41	-2.09525
chrI	5325000	16	-1.98287
chrI	5400000	31	-2.18171
chrI	5475000	57	-1.83258
chrI	5550000	22	-0.939535
chrI	5625000	5	-0.682718
chrI	5700000	23	-0.848121
chrI	5775000	19	-1.12031
chrI	5850000	37	-1.31829
chrI	5925000	42	-1.0608
chrI	6000000	43	-0.883122
chrI	6075000	25	-1.2464
chrI	6150000	84	-1.63185
chrI	6225000	33	-1.48422
chrI	6300000	41	-2.21403
chrI	6375000	52	-1.41426
chrI	6450000	50	-1.752
chrI	6525000	65	-1.67794
chrI	6600000	39	-2.18618
chrI	6675000	38	-1.35618
chrI	6750000	25	-0.947913
chrI	6825000	34	-2.0208
chrI	6900000	55	-1.19016
chrI	6975000	26	-1.39463
chrI	7050000	19	-1.79836
chrI	7125000	31	-1.80867
chrI	7200000	18	-1.38037
chrI	7275000	60	-1.60944
chrI	7350000	28	-1.04029
chrI	7425000	45	-0.719994
chrI	7500000	45	-2.06473
chrI	7575000	25	-1.54651
chrI	7650000	35	-1.07141
chrI	7725000	38	-1.92586
chrI	7800000	31	-1.88749
chrI	7875000	23	-0.731768
chrI	7950000	103	-0.258368
chrI	8025000	53	-2.01035
chrI	8100000	11	-2.02533
chrI	8175000	17	-2.07543
chrI	8250000	49	-1.48409
chrI	8325000	16	-1.34628
chrI	8400000	47	-1.33129
chrI	8475000	26	-1.63419
chrI	8550000	46	-1.98241
chrI	8625000	30	-1.21742
chrI	8700000	23	-1.45814
