chr pos1 pos2 r2_wht r2_cmn r2_cbr n_snps_wht pi_wht tajd_wht n_snps_cmn pi_cmn tajd_cmn n_snps_cbr pi_cbr tajd_cbr fst_wht_cbr fst_wht_cmn fst_cbr_cmn
chrI 1 75000 0.117597281410256 0.123839681278468 0.0431827747108844 54 3.39882e-05 -1.85617 52 3.60314e-05 -1.72948 27 3.02159e-05 -1.20735 0.00986988 0.00858054 -0.000635193
chrI 75001 150000 0.142236899597972 0.134883361951317 0.101386540083736 52 3.96203e-05 -1.56173 54 3.6094e-05 -1.64429 40 5.71904e-05 -0.901666 0.0288448 0.0141877 0.0440459
chrI 150001 225000 0.124469411831902 0.0796733799893927 0.0912061326083231 62 3.69853e-05 -1.93533 49 4.40554e-05 -1.32126 35 4.19814e-05 -1.08053 0.0520949 0.0157216 0.019354
chrI 225001 3e+05 0.117225798055213 0.0754927396620542 0.072600065636337 27 6.16829e-05 0.525032 32 6.30318e-05 0.183947 22 5.77575e-05 0.820644 0.0671076 0.0220676 0.0110941
chrI 300001 375000 0.135860917296516 0.0982198482982933 0.111947114300565 94 6.05055e-05 -1.86261 80 6.30386e-05 -1.56234 64 6.59477e-05 -1.54858 0.0181439 0.00250656 0.0115713
chrI 375001 450000 0.126474501015212 0.0547688920068027 0.0679657865740741 54 3.08753e-05 -2.10134 38 2.98516e-05 -1.71157 25 3.39688e-05 -1.09036 -0.0014565 0.000102034 0.00539544
chrI 600001 675000 0.123403506186869 0.179076672602041 0.140121087037037 37 1.22983e-05 -2.30725 50 1.24651e-05 -2.48718 30 1.89704e-05 -2.02574 0.00457213 0.0083724 0.0249614
chrI 675001 750000 0.0940079073710317 0.0667457705555556 0.0628196267857143 26 1.77893e-05 -1.48117 16 1.63507e-05 -0.669587 15 1.87722e-05 -0.888521 0.0186786 0.0299307 0.0222387
chrI 750001 825000 0.0971176327229225 0.114117457745588 0.0878544333347763 23 3.53257e-05 -0.283937 21 3.35524e-05 -0.235158 15 3.40949e-05 0.716647 0.0098625 0.0160589 -0.00164772
chrI 825001 9e+05 0.0977281686212874 0.0820691377483898 0.0685945963075505 68 7.44566e-05 -1.03654 69 9.1636e-05 -0.77007 51 8.33827e-05 -0.534446 -0.000108794 0.0138426 0.0214506
chrI 900001 975000 0.102735533549784 0.0731773511609687 0.308309324374262 43 3.84176e-05 -1.54769 40 3.96919e-05 -1.34146 32 4.27722e-05 -1.07995 0.0127086 0.00780091 0.00572222
chrI 975001 1050000 0.11055667922619 0.0839174340909091 0.0746323444871795 20 1.15316e-05 -1.57133 26 1.37745e-05 -1.6969 10 1.01707e-05 -0.753314 0.0169013 0.0155135 0.00651921
chrI 1050001 1125000 0.127806038006311 0.0765449100089127 0.0416990863888889 32 1.86418e-05 -1.76862 30 1.86543e-05 -1.66562 17 2.36776e-05 -0.917511 0.00097344 -0.00246647 -0.000587914
chrI 1125001 1200000 0.0691059312190551 0.0910250129671361 0.11498387563621 51 5.03728e-05 -1.23154 53 7.81082e-05 -0.492348 42 6.54318e-05 -0.648118 0.154845 0.051044 0.119029
chrI 1200001 1275000 0.122207138214286 0.085779375 0.109167846666667 15 1.59476e-05 -1.18902 26 1.63295e-05 -1.83295 11 1.57964e-05 -0.881952 -0.00474991 0.00707278 0.0135158
chrI 1275001 1350000 0.115294482948747 0.119183915866509 0.0695865795089165 62 4.85295e-05 -1.65469 49 4.48007e-05 -1.22623 35 4.98401e-05 -0.665082 0.00842423 0.0026775 0.000370761
chrI 1350001 1425000 0.0751754863414144 0.0996469584533929 0.0960156115278989 46 2.53665e-05 -1.63552 41 2.36127e-05 -1.49196 30 2.74986e-05 -1.15403 0.0138157 0.00989556 0.000775075
chrI 1425001 1500000 0.0818985432931998 0.0751167703879269 0.0826926177268712 60 7.09624e-05 -0.440475 60 7.70806e-05 -0.531355 43 8.33067e-05 0.231925 0.00677325 0.00282702 0.0130262
chrI 1500001 1575000 0.0863373517083272 0.049954099922619 0.0867127222341721 36 4.92957e-05 -0.531771 33 5.48904e-05 -0.0548007 25 5.65972e-05 0.638633 0.0158225 0.00648548 0.0112198
chrI 1575001 1650000 0.0634048763095238 0.106294169886364 0.134205891 26 9.68908e-06 -2.13392 16 9.52441e-06 -1.58875 19 1.20495e-05 -1.80834 -0.00474635 -0.00469078 0.000700186
chrI 1650001 1725000 0.0876351321948052 0.190700339451872 0.212290778061597 42 2.73399e-05 -1.66759 48 2.88213e-05 -1.81463 39 2.947e-05 -1.73514 0.0021479 -0.00743134 0.00157829
chrI 1725001 1800000 0.0722065082301889 0.0925754812039815 0.0476625093812843 32 3.03764e-05 -1.10709 34 2.95903e-05 -1.27462 28 3.83068e-05 -0.938573 0.00591532 -0.00253045 0.00890361
chrI 1800001 1875000 0.0657131909185036 0.0777496022957174 0.0685759070960118 67 7.27849e-05 -0.875426 66 8.11349e-05 -0.601281 55 8.44146e-05 -0.443571 0.00428853 0.0027807 0.0104024
chrI 1875001 1950000 0.0797387735687831 0.0710444160833333 0.0532737785882173 25 1.71864e-05 -1.11507 29 1.7956e-05 -1.31425 20 2.36658e-05 -0.812744 0.0134796 -0.00637083 0.0103688
chrI 1950001 2025000 0.108610999760676 0.0775595779596237 0.0807594270792932 39 4.96725e-05 -0.837256 40 4.95609e-05 -0.878842 37 5.18826e-05 -0.869354 -0.00366689 0.00301546 0.00411749
chrI 2025001 2100000 0.05840744 0.0744220666666667 0.0378855407407407 25 9.16765e-06 -2.09377 14 6.99753e-06 -1.6622 15 6.66018e-06 -1.89704 0.000692093 -0.00091957 0.011085
chrI 2100001 2175000 0.102864517850092 0.0336654748106061 0.0427793488809524 44 2.92113e-05 -1.83026 40 3.06327e-05 -1.63581 36 3.19266e-05 -1.69435 0.00309877 0.00353497 0.00746333
chrI 2175001 2250000 0.117572963182044 0.0824543637165242 0.0997315560598661 33 2.56219e-05 -1.63729 31 2.4753e-05 -1.55713 32 2.45234e-05 -1.79914 0.0135524 0.00459832 0.00224772
chrI 2250001 2325000 0.0717561117942526 0.0422026472171717 0.113195333243732 30 2.05282e-05 -1.34421 34 1.9168e-05 -1.62648 28 2.30209e-05 -1.42952 0.0176427 0.0159504 -0.00299295
chrI 2325001 2400000 0.0841206308431894 0.102232566907332 0.0894676685588023 48 3.64138e-05 -1.53264 49 3.22118e-05 -1.72535 38 4.65446e-05 -1.17742 0.0189763 0.0030982 0.0293283
chrI 2400001 2475000 0.0783081714022428 0.0566364760178628 0.100210869449092 32 3.3917e-05 -0.980216 38 3.25247e-05 -1.31368 32 3.83249e-05 -1.07699 0.00400588 -0.0027864 0.0151943
chrI 2475001 2550000 0.0707634260516635 0.0666294089063615 0.109426068895174 62 6.10612e-05 -1.01876 63 5.02656e-05 -1.21414 48 6.21665e-05 -0.80499 0.0261675 0.0229724 -0.00280519
chrI 2550001 2625000 0.138870848462302 0.0698270501964286 0.0922815794028657 32 5.06084e-05 -0.588266 36 5.41081e-05 -0.681043 34 5.44696e-05 -0.821912 0.0019224 0.00652335 0.00132428
chrI 2625001 2700000 0.0815235387660116 0.0976763093322437 0.0580813980407294 46 4.55636e-05 -1.18618 41 4.53723e-05 -0.864815 36 4.94581e-05 -0.806366 0.00708718 0.00187487 -0.00186307
chrI 2700001 2775000 0.0669446323455398 0.0708313652597328 0.0647903882057372 57 6.12708e-05 -0.64495 51 6.15501e-05 -0.396664 40 7.54862e-05 0.0287071 0.00460875 0.00220717 0.000778088
chrI 2775001 2850000 0.082553395522281 0.0647962631590965 0.0769556342915598 33 3.92898e-05 -0.250383 33 4.55369e-05 -0.00856108 27 4.82183e-05 0.0471586 0.00266755 -0.00442628 0.000847248
chrI 2850001 2925000 0.076595629027282 0.0855710501701755 0.0598137302551873 52 5.77856e-05 -0.885288 52 6.3323e-05 -0.760787 42 6.871e-05 -0.630774 0.00684394 0.00940871 0.00992139
chrI 2925001 3e+06 0.099289789381683 0.0906111716485149 0.0783148305059973 53 3.76149e-05 -1.5778 55 3.69461e-05 -1.60501 36 4.55007e-05 -0.901626 0.00448038 -0.00249613 0.000173785
chrI 3000001 3075000 0.0847201589213266 0.0844026841806153 0.0960940791995193 47 4.08747e-05 -0.998477 40 4.63009e-05 -0.309045 42 5.0565e-05 -0.825492 0.0668978 0.0221765 0.0411226
