id,roi,method,ref,populations,ecotypes,caption,caption_alt,qtl_trait,qtl_trait_alt,qtl_functioncat1,qtl_cat,qtl_pve,candidate_gene,candidate_gene_long,candidate_gene_ensembl,candidate_region,candidate_function,remarks,GLA_chr_start,GLA_pos_start,GLA_chr_end,GLA_pos_end,GLA_chr_regstart,pos_regstart_GLA,GLA_chr_regend,GLA_pos_regend,GLA_overlap_definition,GLA_chr_ovstart,GLA_pos_ovstart,GLA_chr_ovend,GLA_pos_ovend,GLA_masked
1,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26493346,chrI,26459652,,,,,exact region as reported,chrI,26459652,chrI,26493346,
2,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26458846,chrI,26332846,,,,,exact region as reported,chrI,26332846,chrI,26458846,
3,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26112659,chrI,26039846,,,,,exact region as reported,chrI,26039846,chrI,26112659,
4,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,7743655,chrI,7746155,,,,,exact region as reported,chrI,7743655,chrI,7746155,
5,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,8512655,chrI,8516155,,,,,exact region as reported,chrI,8512655,chrI,8516155,
6,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,9092655,chrI,9095155,,,,,exact region as reported,chrI,9092655,chrI,9095155,
7,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,12072155,chrI,12074655,,,,,exact region as reported,chrI,12072155,chrI,12074655,
8,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,12415155,chrI,12417655,,,,,exact region as reported,chrI,12415155,chrI,12417655,
9,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,12623155,chrI,12626655,,,,,exact region as reported,chrI,12623155,chrI,12626655,
10,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,12712155,chrI,12716655,,,,,exact region as reported,chrI,12712155,chrI,12716655,
11,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,12824655,chrI,12827155,,,,,exact region as reported,chrI,12824655,chrI,12827155,
12,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,14299739,chrI,14304383,,,,,exact region as reported,chrI,14299739,chrI,14304383,
13,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,14306655,chrI,14309155,,,,,exact region as reported,chrI,14306655,chrI,14309155,
14,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,17479029,chrI,17479925,,,,,exact region as reported,chrI,17479029,chrI,17479925,
15,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26327846,chrI,26255202,,,,,exact region as reported,chrI,26255202,chrI,26327846,
16,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26224761,chrI,26212346,,,,,exact region as reported,chrI,26212346,chrI,26224761,
17,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26212078,chrI,26137750,,,,,exact region as reported,chrI,26137750,chrI,26212078,
18,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26137469,chrI,26119544,,,,,exact region as reported,chrI,26119544,chrI,26137469,
19,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26119532,chrI,26116263,,,,,exact region as reported,chrI,26116263,chrI,26119532,
20,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26035959,chrI,26028504,,,,,exact region as reported,chrI,26028504,chrI,26035959,
21,Outlier region,"outlier analysis, whole-genome, SOM/HMM approach for parallel freshwater/marine",Jones et al. 2012 Nature,Worldwide marine-freshwater,marine_freshwater,MF,,,,outlier,,,,,,,,"global marine-freshwater differentiation, FDR=0.05, export from StickleBrowser",chrI,26014957,chrI,26004533,,,,,exact region as reported,chrI,26004533,chrI,26014957,
