CHROM	BIN_START	N_SNPS	TajimaD
chrI	0	27	-1.20735
chrI	75000	40	-0.901666
chrI	150000	35	-1.08053
chrI	225000	22	0.820644
chrI	300000	64	-1.54858
chrI	375000	25	-1.09036
chrI	450000	9	-0.906233
chrI	525000	0	nan
chrI	600000	30	-2.02574
chrI	675000	15	-0.888521
chrI	750000	15	0.716647
chrI	825000	51	-0.534446
chrI	900000	32	-1.07995
chrI	975000	10	-0.753314
chrI	1050000	17	-0.917511
chrI	1125000	42	-0.648118
chrI	1200000	11	-0.881952
chrI	1275000	35	-0.665082
chrI	1350000	30	-1.15403
chrI	1425000	43	0.231925
chrI	1500000	25	0.638633
chrI	1575000	19	-1.80834
chrI	1650000	39	-1.73514
chrI	1725000	28	-0.938573
chrI	1800000	55	-0.443571
chrI	1875000	20	-0.812744
chrI	1950000	37	-0.869354
chrI	2025000	15	-1.89704
chrI	2100000	36	-1.69435
chrI	2175000	32	-1.79914
chrI	2250000	28	-1.42952
chrI	2325000	38	-1.17742
chrI	2400000	32	-1.07699
chrI	2475000	48	-0.80499
chrI	2550000	34	-0.821912
chrI	2625000	36	-0.806366
chrI	2700000	40	0.0287071
chrI	2775000	27	0.0471586
chrI	2850000	42	-0.630774
chrI	2925000	36	-0.901626
chrI	3000000	42	-0.825492
chrI	3075000	47	-0.926993
chrI	3150000	45	0.449135
chrI	3225000	14	-0.698381
chrI	3300000	25	-1.55804
chrI	3375000	26	-0.77571
chrI	3450000	23	-1.65651
chrI	3525000	21	-1.48395
chrI	3600000	18	1.29832
chrI	3675000	47	-0.664243
chrI	3750000	14	0.456109
chrI	3825000	14	0.773638
chrI	3900000	35	-1.00335
chrI	3975000	21	-1.38765
chrI	4050000	21	-0.409644
chrI	4125000	28	-1.72179
chrI	4200000	27	-0.724341
chrI	4275000	38	0.177959
chrI	4350000	47	-0.0205241
chrI	4425000	54	-0.529691
chrI	4500000	29	-1.52455
chrI	4575000	41	-1.09861
chrI	4650000	16	-0.625569
chrI	4725000	42	0.129205
chrI	4800000	8	-1.24742
chrI	4875000	24	-0.0158402
chrI	4950000	24	0.244168
chrI	5025000	23	-0.111827
chrI	5100000	8	-1.36225
chrI	5175000	31	-1.48132
chrI	5250000	25	-1.35103
chrI	5325000	7	-1.33805
