CHROM	BIN_START	N_SNPS	TajimaD
chrI	0	54	-1.85617
chrI	75000	52	-1.56173
chrI	150000	62	-1.93533
chrI	225000	27	0.525032
chrI	300000	94	-1.86261
chrI	375000	54	-2.10134
chrI	450000	17	-1.65733
chrI	525000	0	nan
chrI	600000	37	-2.30725
chrI	675000	26	-1.48117
chrI	750000	23	-0.283937
chrI	825000	68	-1.03654
chrI	900000	43	-1.54769
chrI	975000	20	-1.57133
chrI	1050000	32	-1.76862
chrI	1125000	51	-1.23154
chrI	1200000	15	-1.18902
chrI	1275000	62	-1.65469
chrI	1350000	46	-1.63552
chrI	1425000	60	-0.440475
chrI	1500000	36	-0.531771
chrI	1575000	26	-2.13392
chrI	1650000	42	-1.66759
chrI	1725000	32	-1.10709
chrI	1800000	67	-0.875426
chrI	1875000	25	-1.11507
chrI	1950000	39	-0.837256
chrI	2025000	25	-2.09377
chrI	2100000	44	-1.83026
chrI	2175000	33	-1.63729
chrI	2250000	30	-1.34421
chrI	2325000	48	-1.53264
chrI	2400000	32	-0.980216
chrI	2475000	62	-1.01876
chrI	2550000	32	-0.588266
chrI	2625000	46	-1.18618
chrI	2700000	57	-0.64495
chrI	2775000	33	-0.250383
chrI	2850000	52	-0.885288
chrI	2925000	53	-1.5778
chrI	3000000	47	-0.998477
chrI	3075000	64	-1.33937
chrI	3150000	57	-0.026506
chrI	3225000	18	-1.01276
chrI	3300000	33	-1.85596
chrI	3375000	29	-0.900904
chrI	3450000	32	-2.14507
chrI	3525000	24	-1.55113
chrI	3600000	21	0.671153
chrI	3675000	64	-1.13118
chrI	3750000	23	-0.975506
chrI	3825000	23	-0.331722
chrI	3900000	42	-1.26706
chrI	3975000	33	-1.913
chrI	4050000	23	-0.541655
chrI	4125000	39	-2.00791
chrI	4200000	42	-1.30405
chrI	4275000	44	0.125458
chrI	4350000	82	-1.06779
chrI	4425000	72	-1.0151
chrI	4500000	43	-1.73467
chrI	4575000	57	-1.31725
chrI	4650000	27	-1.25701
chrI	4725000	68	-0.683895
chrI	4800000	16	-1.86472
chrI	4875000	24	0.140889
chrI	4950000	31	-0.498255
chrI	5025000	31	-0.85917
chrI	5100000	8	-1.44457
chrI	5175000	37	-1.85193
chrI	5250000	38	-1.9319
chrI	5325000	12	-1.80328
chrI	5400000	32	-2.2329
chrI	5475000	50	-1.43432
chrI	5550000	36	-2.00457
chrI	5625000	8	-1.32079
chrI	5700000	22	-0.762219
chrI	5775000	15	-0.752388
chrI	5850000	40	-1.39554
chrI	5925000	46	-1.38721
chrI	6000000	57	-1.22764
chrI	6075000	23	-1.09437
chrI	6150000	82	-1.57059
chrI	6225000	34	-1.66026
chrI	6300000	48	-2.33935
chrI	6375000	61	-1.64125
chrI	6450000	50	-1.53613
chrI	6525000	63	-1.71632
chrI	6600000	32	-1.90347
chrI	6675000	38	-1.27221
chrI	6750000	22	-0.927763
chrI	6825000	30	-1.79293
chrI	6900000	51	-1.46026
chrI	6975000	27	-1.34313
chrI	7050000	21	-1.99113
chrI	7125000	29	-1.81095
chrI	7200000	13	-1.11369
chrI	7275000	58	-1.56721
chrI	7350000	45	-1.74021
chrI	7425000	37	-0.75813
chrI	7500000	32	-1.99294
chrI	7575000	34	-1.93491
chrI	7650000	35	-1.09335
chrI	7725000	33	-1.7367
chrI	7800000	29	-1.60029
chrI	7875000	26	-1.01674
chrI	7950000	106	-0.311751
chrI	8025000	62	-2.29974
chrI	8100000	15	-2.16483
chrI	8175000	36	-2.44944
chrI	8250000	58	-1.65819
chrI	8325000	20	-1.737
chrI	8400000	42	-1.06769
chrI	8475000	35	-1.99644
chrI	8550000	37	-1.87816
chrI	8625000	32	-1.58729
chrI	8700000	26	-1.52972
chrI	8775000	54	-1.95398
chrI	8850000	36	-1.91457
chrI	8925000	56	-2.54921
chrI	9000000	17	-2.30778
chrI	9075000	38	-2.16352
chrI	9150000	5	-1.76229
chrI	9225000	7	-1.32327
chrI	9300000	27	-1.38734
chrI	9375000	42	-1.41589
chrI	9450000	11	-2.00932
chrI	9525000	31	-1.74079
chrI	9600000	25	-1.61984
chrI	9675000	29	-1.62108
chrI	9750000	23	-2.19456
chrI	9825000	16	-1.96231
chrI	9900000	21	-1.82438
chrI	9975000	60	-1.53076
chrI	10050000	17	-0.628833
chrI	10125000	20	-2.12478
chrI	10200000	20	-1.74153
chrI	10275000	43	-2.55584
chrI	10350000	26	-2.49002
