chr pos ies_wht ies_cmn ies_cbr
1 6760 37214.2363645772 32666.7273224746 30704.3227186591
1 24880 44452.8499233343 40614.119222312 41697.2374338487
1 24906 70627.6189860959 63660.9050507936 64940.5353638302
1 25024 88906.2974937165 82972.6386335314 80828.2965314804
1 85141 71873.7738971709 75662.8995893167 65566.205700793
1 101816 71479.094225694 69411.2885598119 65818.4585904628
1 101892 77541.7844124923 78390.196936453 56659.3146811968
1 101895 56632.9872881993 49981.317750426 38407.0954386274
1 101901 74329.4994059401 72930.3907970895 57781.0365318852
1 135788 59311.4168885612 65421.6188714826 50191.3264691953
1 145728 38379.9998863098 44291.2428332245 33043.473319499
1 145744 38379.9998863098 43792.0379832576 33043.473319499
1 145747 38379.9998863098 43637.6930963689 33043.473319499
1 148593 45019.1771631065 44246.1746839708 26551.7389920543
1 148614 26510.6580506245 24236.4938747271 15322.8955588698
1 149207 32540.16430882 31798.8466263531 24093.2937620453
1 150503 34511.2291824408 31859.9176767677 26365.3992243723
1 157055 38690.483432103 32866.550200414 33863.8586086657
1 157620 57495.5533166946 47506.8663060017 48598.9423727326
1 195849 58132.0856586689 51648.8506288125 50690.4296407899
1 201682 60204.8324665838 47555.1903991373 50363.9144996807
1 222208 60481.6272487253 47433.7047964614 58923.0746431576
1 222231 61780.0694110149 51653.7725037009 58971.0990246308
1 222277 55970.2594095556 48642.0461531588 45493.0430660785
1 262428 69721.5612816422 53626.0550938755 57884.4023511653
1 262448 66205.2392525069 48920.2979292929 48528.1636253625
1 262641 66205.2392525069 48920.2979292929 48528.1636253625
1 262645 59044.3293440116 41273.1268353528 35820.4256383763
1 262699 59905.0304685755 44132.8710734347 42791.8266832759
1 292367 49477.8503142569 41911.8750869968 45176.0641872296
1 292381 45763.4699704043 36705.8041006613 38451.5914887774
1 292386 45811.4327946768 36820.3884422735 40098.9045264915
1 297375 30644.5739831266 30882.1957109189 30035.7974379838
1 303127 32590.2253556056 29130.7708435704 29577.3305712941
1 313195 30337.7968367557 29030.7843450439 30878.983800025
1 313223 32905.4412736823 30448.4891796869 33148.0156731799
1 313248 27361.6788080817 28245.7363660487 27574.5927044525
1 318486 33064.4908282922 30347.4208312686 30554.5820756924
