"chr" "pos1" "pos2" "gene" "bias_direction" "bias_amount" "fst_wht_cmn" "fst_wht_cbr" "fst_cbr_cmn"
1 12225001 12300000 "ENSGACG00000011157" "M" 0.22 0.258309625 0.331790025 0.0094438425
1 12225001 12300000 "ENSGACG00000011119" "F" 0.062 0.258309625 0.331790025 0.0094438425
1 19500001 19575000 "ENSGACG00000013633" "F" 0.211 0.25215425 0.137593975 0.024919275
1 19500001 19575000 "ENSGACG00000013619" "M" 0.1 0.25215425 0.137593975 0.024919275
1 21600001 21675000 "ENSGACG00000014296" "M" 0.161 0.1219085 0.06319494 0.016370575
1 22650001 22725000 "ENSGACG00000014752" "M" 0.345 0.0761062571428571 0.135708571428571 0.0394908245714286
1 22650001 22725000 "ENSGACG00000014735" "F" 0.108 0.0761062571428571 0.135708571428571 0.0394908245714286
4 13800001 13875000 "ENSGACG00000018408" "F" 0.114 0.12678383875 0.0808811625 0.0297802125
4 24600001 24675000 "ENSGACG00000019373" "M" 0.19 0.140100333333333 0.0181644 0.0903909666666667
4 24600001 24675000 "ENSGACG00000019383" "M" 0.035 0.140100333333333 0.0181644 0.0903909666666667
4 25350001 25425000 "ENSGACG00000019480" "M" 0.184 0.1183779 0.193119883333333 0.05349665
4 25500001 25575000 "ENSGACG00000019497" "F" 0.151 0.00624286333333333 0.216117 0.143218
4 25500001 25575000 "ENSGACG00000019505" "F" 0.047 0.00624286333333333 0.216117 0.143218
5 3900001 3975000 "ENSGACG00000003652" "M" 0.471 0.0594588335882353 0.102522164705882 0.0337100082352941
5 3900001 3975000 "ENSGACG00000003660" "M" 0.172 0.0594588335882353 0.102522164705882 0.0337100082352941
5 8400001 8475000 "ENSGACG00000006563" "F" 0.05 0.108313211111111 0.114621883333333 0.00794239555555556
5 8400001 8475000 "ENSGACG00000006575" "F" 0.008 0.108313211111111 0.114621883333333 0.00794239555555556
5 8475001 8550000 "ENSGACG00000006599" "M" 0.224 0.151719695833333 0.1718301475 0.00336692866666667
6 2250001 2325000 "ENSGACG00000002949" "M" 0.107 0.1734548 0.0549806 0.04794928
6 2325001 2400000 "ENSGACG00000002988" "M" 0.053 0.225760333333333 0.0929146 0.0490914
6 15225001 15300000 "ENSGACG00000011492" "M" 0.066 0.114102881666667 0.154360102 0.0112047533333333
6 15225001 15300000 "ENSGACG00000011471" "F" 0.035 0.114102881666667 0.154360102 0.0112047533333333
7 4200001 4275000 "ENSGACG00000019365" "M" 0.445 0.174865545714286 0.0659195771428571 0.0365348428571429
7 4200001 4275000 "ENSGACG00000019361" "M" 0.098 0.174865545714286 0.0659195771428571 0.0365348428571429
7 4200001 4275000 "ENSGACG00000019350" "F" 0.065 0.174865545714286 0.0659195771428571 0.0365348428571429
7 6075001 6150000 "ENSGACG00000019537" "M" 0.071 0.1184413 0.14762184 0.006567134
7 22350001 22425000 "ENSGACG00000020692" "F" 0.496 0.094201615862069 0.120042262068966 0.024213936
