chr pos fst_wht_cmn_count fst_wht_cmn_pval fst_wht_cbr_count fst_wht_cbr_pval fst_cbr_cmn_count fst_cbr_cmn_pval
1 1 0 1 0 1 0 1
1 75001 0 1 0 1 1 0.122287771222878
1 150001 0 1 0 1 0 1
1 225001 0 1 1 0.102289771022898 0 1
1 300001 0 1 0 1 0 1
1 375001 0 1 0 1 0 1
1 600001 0 1 0 1 0 1
1 675001 0 1 0 1 0 1
1 750001 0 1 0 1 0 1
1 825001 0 1 0 1 0 1
1 900001 0 1 0 1 0 1
1 975001 0 1 0 1 0 1
1 1050001 0 1 0 1 0 1
1 1125001 3 0.0008999100089991 2 0.0148985101489851 6 9.99900009999e-05
1 1200001 0 1 0 1 0 1
1 1275001 0 1 0 1 0 1
1 1350001 0 1 0 1 0 1
1 1425001 0 1 0 1 0 1
1 1500001 0 1 0 1 0 1
1 1650001 0 1 0 1 0 1
1 1725001 0 1 0 1 0 1
1 1800001 0 1 0 1 0 1
1 1875001 0 1 0 1 0 1
1 1950001 0 1 0 1 0 1
1 2025001 0 1 0 1 0 1
1 2100001 0 1 0 1 0 1
1 2175001 0 1 0 1 0 1
1 2250001 0 1 0 1 0 1
1 2325001 0 1 0 1 0 1
1 2400001 0 1 0 1 0 1
1 2475001 0 1 1 0.166383361663834 0 1
1 2550001 0 1 0 1 0 1
1 2625001 0 1 0 1 0 1
1 2700001 0 1 0 1 0 1
1 2775001 0 1 0 1 0 1
1 2850001 0 1 0 1 0 1
1 2925001 0 1 0 1 0 1
1 3000001 0 1 1 0.165783421657834 2 0.0133986601339866
1 3075001 0 1 1 0.134886511348865 0 1
1 3150001 0 1 0 1 2 0.0238976102389761
1 3225001 0 1 0 1 0 1
1 3300001 0 1 0 1 0 1
1 3375001 0 1 0 1 0 1
1 3450001 1 0.0462953704629537 0 1 0 1
1 3525001 0 1 0 1 0 1
1 3600001 0 1 0 1 0 1
1 3675001 0 1 0 1 0 1
1 3750001 0 1 0 1 0 1
1 3825001 0 1 0 1 0 1
1 3900001 0 1 0 1 0 1
1 3975001 0 1 0 1 0 1
1 4050001 0 1 0 1 0 1
1 4125001 0 1 0 1 0 1
1 4200001 0 1 0 1 0 1
1 4275001 0 1 0 1 0 1
1 4350001 0 1 0 1 0 1
