chr pos fst_wht_cmn_count fst_wht_cmn_pval fst_wht_cbr_count fst_wht_cbr_pval fst_cbr_cmn_count fst_cbr_cmn_pval
1 1 0 1 0 1 0 1
1 75001 0 1 0 1 1 0.118188181181882
1 150001 0 1 0 1 0 1
1 225001 0 1 1 0.100989901009899 0 1
1 300001 0 1 0 1 0 1
1 375001 0 1 0 1 0 1
1 600001 0 1 0 1 0 1
1 675001 0 1 0 1 0 1
1 750001 0 1 0 1 0 1
1 825001 0 1 0 1 0 1
1 900001 0 1 0 1 0 1
1 975001 0 1 0 1 0 1
1 1050001 0 1 0 1 0 1
1 1125001 3 0.000999900009999 2 0.0123987601239876 6 9.99900009999e-05
1 1200001 0 1 0 1 0 1
1 1275001 0 1 0 1 0 1
1 1350001 0 1 0 1 0 1
1 1425001 0 1 0 1 0 1
1 1500001 0 1 0 1 0 1
1 1650001 0 1 0 1 0 1
1 1725001 0 1 0 1 0 1
1 1800001 0 1 0 1 0 1
1 1875001 0 1 0 1 0 1
1 1950001 0 1 0 1 0 1
1 2025001 0 1 0 1 0 1
1 2100001 0 1 0 1 0 1
1 2175001 0 1 0 1 0 1
1 2250001 0 1 0 1 0 1
1 2325001 0 1 0 1 0 1
1 2400001 0 1 0 1 0 1
1 2475001 0 1 1 0.171682831716828 0 1
1 2550001 0 1 0 1 0 1
1 2625001 0 1 0 1 0 1
1 2700001 0 1 0 1 0 1
1 2775001 0 1 0 1 0 1
1 2850001 0 1 0 1 0 1
1 2925001 0 1 0 1 0 1
1 3000001 0 1 1 0.15978402159784 2 0.0143985601439856
1 3075001 0 1 1 0.143685631436856 0 1
1 3150001 0 1 0 1 2 0.0243975602439756
1 3225001 0 1 0 1 0 1
1 3300001 0 1 0 1 0 1
1 3375001 0 1 0 1 0 1
1 3450001 1 0.044995500449955 0 1 0 1
1 3525001 0 1 0 1 0 1
1 3600001 0 1 0 1 0 1
1 3675001 0 1 0 1 0 1
1 3750001 0 1 0 1 0 1
1 3825001 0 1 0 1 0 1
1 3900001 0 1 0 1 0 1
1 3975001 0 1 0 1 0 1
1 4050001 0 1 0 1 0 1
1 4125001 0 1 0 1 0 1
1 4200001 0 1 0 1 0 1
1 4275001 0 1 0 1 0 1
1 4350001 0 1 0 1 0 1
1 4425001 0 1 0 1 0 1
1 4500001 0 1 0 1 0 1
1 4575001 0 1 0 1 0 1
1 4650001 0 1 0 1 0 1
1 4725001 0 1 0 1 0 1
1 4875001 0 1 0 1 0 1
1 4950001 0 1 0 1 0 1
1 5025001 0 1 0 1 0 1
1 5175001 0 1 0 1 0 1
1 5250001 0 1 0 1 0 1
1 5400001 0 1 0 1 0 1
1 5475001 0 1 0 1 0 1
1 5550001 0 1 0 1 0 1
1 5700001 0 1 0 1 0 1
1 5775001 0 1 0 1 0 1
1 5850001 0 1 0 1 0 1
1 5925001 0 1 0 1 0 1
1 6000001 0 1 0 1 1 0.137086291370863
1 6075001 0 1 0 1 0 1
1 6150001 0 1 1 0.21007899210079 1 0.208379162083792
1 6225001 0 1 0 1 0 1
1 6300001 0 1 0 1 0 1
1 6375001 0 1 0 1 0 1
1 6450001 0 1 0 1 0 1
1 6525001 0 1 0 1 0 1
1 6600001 0 1 0 1 0 1
1 6675001 0 1 0 1 0 1
1 6750001 0 1 0 1 0 1
1 6825001 0 1 0 1 0 1
1 6900001 0 1 0 1 0 1
1 6975001 0 1 0 1 0 1
1 7050001 0 1 0 1 0 1
1 7125001 0 1 0 1 0 1
