,Window position,,FST,,,Sex Bias,,Gene information,,,
Chromosome,Start,End,White vs. Common,White vs. Bras d'Or,Common vs. Bras d'Or,Direction,Magnitude,ENSEMBL ID,Name,Description,GO Terms
1,12225001,12300000,0.258309625,0.331790025,0.009443843,M,0.22,ENSGACG00000011157,traf4a,tnf receptor-associated factor 4a,"zinc ion binding, protein binding, signal transduction, protein ubiquitination, regulation of apoptotic process, ubiquitin-protein transferase activity, metal ion binding"
1,12225001,12300000,0.258309625,0.331790025,0.009443843,F,0.062,ENSGACG00000011119,tada2a,transcriptional adaptor 2A,"intracellular, zinc ion binding, protein binding, chromatin binding"
1,19500001,19575000,0.25215425,0.137593975,0.024919275,F,0.211,ENSGACG00000013633,akap1b,A kinase,"RNA binding, nucleic acid binding"
1,19500001,19575000,0.25215425,0.137593975,0.024919275,M,0.1,ENSGACG00000013619,dhrs13b,dehydrogenase/reductase,"metabolic process, oxidoreductase activity"
1,21600001,21675000,0.1219085,0.06319494,0.016370575,M,0.161,ENSGACG00000014296,inha,"inhibin, alpha",growth factor activity
1,22650001,22725000,0.076106257,0.135708571,0.039490825,M,0.345,ENSGACG00000014752,Novel gene,,
1,22650001,22725000,0.076106257,0.135708571,0.039490825,F,0.108,ENSGACG00000014735,lancl1,LanC antibiotic synthetase component C-like 1,
4,13800001,13875000,0.126783839,0.080881163,0.029780213,F,0.114,ENSGACG00000018408,CDHR2,cadherin related family member 2,"membrane, plasma membrane, cell adhesion, homophilic cell adhesion via plasma membrane adhesion molecules, calcium ion binding"
4,24600001,24675000,0.140100333,0.0181644,0.090390967,M,0.19,ENSGACG00000019373,snx4 ,sorting nexin 4,phosphatidylinositol binding
4,24600001,24675000,0.140100333,0.0181644,0.090390967,M,0.035,ENSGACG00000019383,ppp6r2a,"protein phosphatase 6, regulatory subunit 2a",
4,25350001,25425000,0.1183779,0.193119883,0.05349665,M,0.184,ENSGACG00000019480,Novel gene,,
4,25500001,25575000,0.006242863,0.216117,0.143218,F,0.151,ENSGACG00000019497,apex1,APEX nuclease,"DNA binding, intracellular, DNA repair, nuclease activity, endonuclease activity, positive regulation of gene expression, heart contraction, heart looping, negative regulation of apoptotic process"
4,25500001,25575000,0.006242863,0.216117,0.143218,F,0.047,ENSGACG00000019505,si:dkey-14k9.3,si:dkey-14k9.3,"zinc ion binding, metal ion binding"
5,3900001,3975000,0.059458834,0.102522165,0.033710008,M,0.471,ENSGACG00000003652,g6pca.2,"glucose-6-phosphatase a, catalytic subunit, tandem duplicate 2","membrane, catalytic activity"
5,3900001,3975000,0.059458834,0.102522165,0.033710008,M,0.172,ENSGACG00000003660,g6pca.1,"glucose-6-phosphatase a, catalytic subunit, tandem duplicate 1","membrane, catalytic activity"
5,8400001,8475000,0.108313211,0.114621883,0.007942396,F,0.05,ENSGACG00000006563,dclre1a,DNA cross-link repair 1A,"metal ion binding, "
5,8400001,8475000,0.108313211,0.114621883,0.007942396,F,0.008,ENSGACG00000006575,nhlrc2,NHL repeat containing 2,protein binding
5,8475001,8550000,0.151719696,0.171830148,0.003366929,M,0.224,ENSGACG00000006599,afap1l2,actin filament associated protein 1-like 2,
6,2250001,2325000,0.1734548,0.0549806,0.04794928,M,0.107,ENSGACG00000002949,5-Mar,membrane-associated ring finger,"zinc ion binding, protein binding, metal ion binding"
6,2325001,2400000,0.225760333,0.0929146,0.0490914,M,0.053,ENSGACG00000002988,cdc42ep3,CDC42 effector protein,
6,15225001,15300000,0.114102882,0.154360102,0.011204753,M,0.066,ENSGACG00000011492,Novel gene,,"transporter activity, transport, membrane, transmembrane transport"
6,15225001,15300000,0.114102882,0.154360102,0.011204753,F,0.035,ENSGACG00000011471,cox20,COX20 cytochrome c oxidase assembly factor,
7,4200001,4275000,0.174865546,0.065919577,0.036534843,M,0.445,ENSGACG00000019365,shbg,sex hormone-binding globulin,androgen binding
7,4200001,4275000,0.174865546,0.065919577,0.036534843,M,0.098,ENSGACG00000019361,hdlbpb,high density lipoprotein binding protein b,"RNA binding, nucleic acid binding"
7,4200001,4275000,0.174865546,0.065919577,0.036534843,F,0.065,ENSGACG00000019350,TRIP6,thyroid hormone receptor interactor 6,zinc ion binding
7,6075001,6150000,0.1184413,0.14762184,0.006567134,M,0.071,ENSGACG00000019537,sec24d,"SEC24 homolog D, COPII coat complex component",
7,22350001,22425000,0.094201616,0.120042262,0.024213936,F,0.496,ENSGACG00000020692,slc25a5,solute carrier family 25,
7,22350001,22425000,0.094201616,0.120042262,0.024213936,F,0.019,ENSGACG00000020693,zbtb20,zinc finger and BTB domain containing 20,", DNA binding, protein binding, metal ion binding"
8,6900001,6975000,0.077812071,0.066110791,0.033393352,M,0.414,ENSGACG00000006545,si:ch211-262h13.5,si:ch211-262h13.5,"cysteine-type endopeptidase inhibitor activity, extracellular space"
8,6900001,6975000,0.077812071,0.066110791,0.033393352,F,0.092,ENSGACG00000006562,MCOLN3 ,mucolipin 3,"membrane, ion transport, ion channel activity, transmembrane transport"
8,6900001,6975000,0.077812071,0.066110791,0.033393352,F,0.021,ENSGACG00000006551,gpsm2l,"G-protein signaling modulator 2, like","protein binding, identical protein binding, GTPase regulator activity"
9,10050001,10125000,0.156381733,0.076104767,0.02530269,M,1.251,ENSGACG00000018120,IGFBP4,insulin like growth factor binding protein 4,"extracellular region, regulation of cell growth, insulin-like growth factor binding"
9,10050001,10125000,0.156381733,0.076104767,0.02530269,F,0.009,ENSGACG00000018126,CISD3,CDGSH iron sulfur domain 3,"intracellular membrane-bounded organelle, 2 iron, 2 sulfur cluster binding"
9,10050001,10125000,0.156381733,0.076104767,0.02530269,M,0.008,ENSGACG00000018128,PCGF2,polycomb group ring finger 2,"zinc ion binding, protein binding, metal ion binding"
9,10425001,10500000,0.187077333,0.115175433,0.032595267,F,0.255,ENSGACG00000018210,trim25 ,tripartite motif containing 25,"intracellular, zinc ion binding, protein binding, protein ubiquitination, ubiquitin-protein transferase activity, metal ion binding"
9,10425001,10500000,0.187077333,0.115175433,0.032595267,M,0.185,ENSGACG00000018206,rasal3 ,RAS protein activator like 3,"regulation of GTPase activity, "
9,10425001,10500000,0.187077333,0.115175433,0.032595267,M,0.174,ENSGACG00000018208,trim25 ,tripartite motif containing 25,"intracellular, zinc ion binding, protein binding, protein ubiquitination, ubiquitin-protein transferase activity, metal ion binding"
9,10425001,10500000,0.187077333,0.115175433,0.032595267,M,0.155,ENSGACG00000018202,SEC14L1 ,SEC14-like lipid binding 1,"cytokine receptor binding, immune response, extracellular region, integral component of membrane, transport"
9,10425001,10500000,0.187077333,0.115175433,0.032595267,M,0.044,ENSGACG00000018216,cbx8b,chromobox homolog 8b,
