CHROM	BIN_START	BIN_END	N_VARIANTS	PI
chrI	1	75000	27	3.02159e-05
chrI	75001	150000	40	5.71904e-05
chrI	150001	225000	35	4.19814e-05
chrI	225001	300000	22	5.77575e-05
chrI	300001	375000	64	6.59477e-05
chrI	375001	450000	25	3.39688e-05
chrI	450001	525000	9	1.07356e-05
chrI	600001	675000	30	1.89704e-05
chrI	675001	750000	15	1.87722e-05
chrI	750001	825000	15	3.40949e-05
chrI	825001	900000	51	8.33827e-05
chrI	900001	975000	32	4.27722e-05
chrI	975001	1050000	10	1.01707e-05
chrI	1050001	1125000	17	2.36776e-05
chrI	1125001	1200000	42	6.54318e-05
chrI	1200001	1275000	11	1.57964e-05
chrI	1275001	1350000	35	4.98401e-05
chrI	1350001	1425000	30	2.74986e-05
chrI	1425001	1500000	43	8.33067e-05
chrI	1500001	1575000	25	5.65972e-05
chrI	1575001	1650000	19	1.20495e-05
chrI	1650001	1725000	39	2.947e-05
chrI	1725001	1800000	28	3.83068e-05
chrI	1800001	1875000	55	8.44146e-05
chrI	1875001	1950000	20	2.36658e-05
chrI	1950001	2025000	37	5.18826e-05
chrI	2025001	2100000	15	6.66018e-06
chrI	2100001	2175000	36	3.19266e-05
chrI	2175001	2250000	32	2.45234e-05
chrI	2250001	2325000	28	2.30209e-05
chrI	2325001	2400000	38	4.65446e-05
chrI	2400001	2475000	32	3.83249e-05
chrI	2475001	2550000	48	6.21665e-05
chrI	2550001	2625000	34	5.44696e-05
chrI	2625001	2700000	36	4.94581e-05
chrI	2700001	2775000	40	7.54862e-05
chrI	2775001	2850000	27	4.82183e-05
chrI	2850001	2925000	42	6.871e-05
chrI	2925001	3000000	36	4.55007e-05
chrI	3000001	3075000	42	5.0565e-05
chrI	3075001	3150000	47	6.90486e-05
chrI	3150001	3225000	45	0.000110554
chrI	3225001	3300000	14	2.12596e-05
chrI	3300001	3375000	25	1.8937e-05
chrI	3375001	3450000	26	3.22554e-05
chrI	3450001	3525000	23	1.93273e-05
chrI	3525001	3600000	21	2.1327e-05
chrI	3600001	3675000	18	5.2194e-05
chrI	3675001	3750000	47	7.02702e-05
chrI	3750001	3825000	14	3.53834e-05
chrI	3825001	3900000	14	3.9792e-05
chrI	3900001	3975000	35	4.64438e-05
chrI	3975001	4050000	21	1.61326e-05
chrI	4050001	4125000	21	3.35875e-05
chrI	4125001	4200000	28	1.99024e-05
chrI	4200001	4275000	27	4.20805e-05
chrI	4275001	4350000	38	7.34707e-05
chrI	4350001	4425000	47	0.000102577
chrI	4425001	4500000	54	7.91569e-05
chrI	4500001	4575000	29	2.59321e-05
chrI	4575001	4650000	41	5.61402e-05
chrI	4650001	4725000	16	2.62664e-05
chrI	4725001	4800000	42	8.92477e-05
chrI	4800001	4875000	8	7.72182e-06
chrI	4875001	4950000	24	3.77064e-05
chrI	4950001	5025000	24	5.36338e-05
chrI	5025001	5100000	23	3.55894e-05
chrI	5100001	5175000	8	6.83666e-06
chrI	5175001	5250000	31	2.82401e-05
chrI	5250001	5325000	25	2.7311e-05
chrI	5325001	5400000	7	5.37645e-06
chrI	5400001	5475000	21	1.17436e-05
chrI	5475001	5550000	27	3.96094e-05
chrI	5550001	5625000	18	2.14792e-05
chrI	5625001	5700000	5	6.42394e-06
chrI	5700001	5775000	19	3.2062e-05
chrI	5775001	5850000	17	1.56031e-05
chrI	5850001	5925000	25	3.88922e-05
chrI	5925001	6000000	38	4.01125e-05
chrI	6000001	6075000	35	6.62909e-05
chrI	6075001	6150000	16	2.61939e-05
chrI	6150001	6225000	57	6.2479e-05
chrI	6225001	6300000	22	3.02692e-05
chrI	6300001	6375000	21	1.40362e-05
chrI	6375001	6450000	38	4.54628e-05
chrI	6450001	6525000	40	3.86416e-05
chrI	6525001	6600000	37	5.25862e-05
chrI	6600001	6675000	24	1.81186e-05
chrI	6675001	6750000	31	3.32417e-05
chrI	6750001	6825000	21	3.00209e-05
chrI	6825001	6900000	20	1.73106e-05
chrI	6900001	6975000	35	5.84429e-05
chrI	6975001	7050000	23	2.19879e-05
chrI	7050001	7125000	15	1.19196e-05
chrI	7125001	7200000	16	2.41008e-05
chrI	7200001	7275000	14	1.306e-05
chrI	7275001	7350000	33	4.56563e-05
chrI	7350001	7425000	29	3.55108e-05
chrI	7425001	7500000	29	5.38841e-05
chrI	7500001	7575000	36	2.32094e-05
chrI	7575001	7650000	18	2.05685e-05
chrI	7650001	7725000	35	4.32992e-05
chrI	7725001	7800000	18	2.18146e-05
chrI	7800001	7875000	16	2.21634e-05
chrI	7875001	7950000	15	2.62617e-05
chrI	7950001	8025000	73	0.00017757
chrI	8025001	8100000	32	2.18965e-05
chrI	8100001	8175000	14	3.00153e-06
chrI	8175001	8250000	16	7.53226e-06
chrI	8250001	8325000	41	3.775e-05
chrI	8325001	8400000	14	1.49344e-05
chrI	8400001	8475000	41	4.28875e-05
chrI	8475001	8550000	18	1.98547e-05
chrI	8550001	8625000	19	2.36604e-05
chrI	8625001	8700000	21	2.56257e-05
chrI	8700001	8775000	20	2.44954e-05
chrI	8775001	8850000	36	3.57656e-05
chrI	8850001	8925000	21	2.50675e-05
chrI	8925001	9000000	23	2.23828e-05
chrI	9000001	9075000	6	1.86296e-06
chrI	9075001	9150000	28	1.75456e-05
chrI	9150001	9225000	5	7.06186e-07
chrI	9225001	9300000	4	3.71223e-06
chrI	9300001	9375000	15	2.30921e-05
chrI	9375001	9450000	31	4.04958e-05
chrI	9450001	9525000	5	2.19219e-06
chrI	9525001	9600000	25	2.56648e-05
chrI	9600001	9675000	17	2.18372e-05
chrI	9675001	9750000	15	2.40707e-05
chrI	9750001	9825000	20	1.12521e-05
chrI	9825001	9900000	14	6.74957e-06
chrI	9900001	9975000	13	1.13888e-05
chrI	9975001	10050000	34	5.62469e-05
chrI	10050001	10125000	11	1.87052e-05
chrI	10125001	10200000	13	9.04487e-06
chrI	10200001	10275000	10	1.10094e-05
chrI	10275001	10350000	25	8.77625e-06
chrI	10350001	10425000	16	8.68062e-06
chrI	10425001	10500000	10	6.4263e-06
chrI	10500001	10575000	18	1.69549e-05
chrI	10575001	10650000	15	9.55381e-06
chrI	10650001	10725000	25	3.07568e-05
chrI	10725001	10800000	8	1.43005e-05
chrI	10800001	10875000	16	8.45846e-06
chrI	10875001	10950000	8	7.60364e-06
chrI	10950001	11025000	19	1.78561e-05
chrI	11025001	11100000	5	5.40375e-06
chrI	11100001	11175000	6	1.03009e-06
chrI	11175001	11250000	18	6.06379e-06
chrI	11250001	11325000	4	6.97918e-06
chrI	11325001	11400000	7	3.1312e-06
chrI	11400001	11475000	17	1.12187e-05
chrI	11475001	11550000	21	3.19465e-05
chrI	11550001	11625000	30	2.34938e-05
chrI	11625001	11700000	23	2.95346e-05
chrI	11700001	11775000	25	2.87683e-05
chrI	11775001	11850000	6	2.81944e-06
chrI	11850001	11925000	25	4.95364e-05
chrI	11925001	12000000	24	3.10362e-05
chrI	12000001	12075000	19	1.64011e-05
chrI	12075001	12150000	33	2.77609e-05
chrI	12150001	12225000	22	1.79629e-05
chrI	12225001	12300000	6	1.29041e-05
chrI	12300001	12375000	2	5.12764e-07
chrI	12375001	12450000	34	4.13515e-05
chrI	12450001	12525000	18	3.5673e-05
chrI	12525001	12600000	69	5.67545e-05
chrI	12600001	12675000	18	9.64934e-06
chrI	12675001	12750000	53	7.60757e-05
chrI	12750001	12825000	69	9.03164e-05
chrI	12825001	12900000	38	5.22465e-05
chrI	12900001	12975000	7	5.17617e-06
chrI	12975001	13050000	26	2.22828e-05
chrI	13050001	13125000	13	1.77787e-05
chrI	13125001	13200000	5	6.5151e-06
chrI	13200001	13275000	24	3.44808e-05
chrI	13275001	13350000	31	4.21828e-05
chrI	13350001	13425000	13	4.56635e-06
chrI	13425001	13500000	16	7.77662e-06
chrI	13500001	13575000	13	9.51203e-06
chrI	13575001	13650000	29	2.91243e-05
chrI	13650001	13725000	9	8.42581e-06
chrI	13725001	13800000	9	8.81205e-06
chrI	13800001	13875000	35	3.20124e-05
chrI	13875001	13950000	16	1.43431e-05
chrI	13950001	14025000	57	6.69738e-05
chrI	14025001	14100000	33	5.79481e-05
chrI	14100001	14175000	28	4.22393e-05
chrI	14175001	14250000	22	1.54327e-05
chrI	14250001	14325000	27	1.38327e-05
chrI	14325001	14400000	52	6.76457e-05
chrI	14400001	14475000	19	2.01887e-05
chrI	14475001	14550000	5	4.96156e-06
chrI	14550001	14625000	25	3.54075e-05
chrI	14625001	14700000	32	2.45943e-05
chrI	14700001	14775000	25	3.78198e-05
chrI	14775001	14850000	29	3.65817e-05
chrI	14850001	14925000	17	8.59667e-06
chrI	14925001	15000000	36	6.28016e-05
chrI	15000001	15075000	16	1.04989e-05
chrI	15075001	15150000	19	1.6537e-05
chrI	15150001	15225000	25	4.48912e-05
chrI	15225001	15300000	27	4.07492e-05
chrI	15300001	15375000	30	2.97867e-05
chrI	15375001	15450000	24	1.75465e-05
chrI	15450001	15525000	36	3.37075e-05
chrI	15525001	15600000	6	4.94864e-06
chrI	15600001	15675000	17	2.58162e-05
chrI	15675001	15750000	29	2.74138e-05
chrI	15750001	15825000	12	1.15296e-05
chrI	15825001	15900000	22	4.65824e-05
chrI	15900001	15975000	42	4.88177e-05
chrI	15975001	16050000	37	4.32685e-05
chrI	16050001	16125000	16	4.37287e-05
chrI	16125001	16200000	41	5.28732e-05
chrI	16200001	16275000	43	4.22229e-05
chrI	16275001	16350000	12	1.59271e-05
chrI	16350001	16425000	3	1.50264e-06
chrI	16425001	16500000	23	2.17767e-05
chrI	16500001	16575000	37	7.9472e-05
chrI	16575001	16650000	17	1.90741e-05
chrI	16650001	16725000	10	2.35752e-06
chrI	16725001	16800000	28	4.05918e-05
chrI	16800001	16875000	45	6.67024e-05
chrI	16875001	16950000	51	8.88988e-05
chrI	16950001	17025000	17	1.88724e-05
chrI	17025001	17100000	22	3.66391e-05
chrI	17100001	17175000	38	3.63933e-05
chrI	17175001	17250000	19	1.47862e-05
chrI	17250001	17325000	34	3.84818e-05
chrI	17325001	17400000	32	4.86462e-05
chrI	17400001	17475000	42	5.52716e-05
chrI	17475001	17550000	16	2.1164e-05
chrI	17550001	17625000	35	5.35359e-05
chrI	17625001	17700000	36	6.98069e-05
chrI	17700001	17775000	35	6.58412e-05
chrI	17775001	17850000	26	5.26924e-05
chrI	17850001	17925000	33	3.6368e-05
chrI	17925001	18000000	9	1.44561e-05
chrI	18000001	18075000	3	6.33141e-06
chrI	18075001	18150000	3	2.70875e-06
chrI	18150001	18225000	28	4.86684e-05
chrI	18225001	18300000	14	9.3445e-06
chrI	18300001	18375000	29	5.77083e-05
chrI	18375001	18450000	35	5.04513e-05
chrI	18450001	18525000	43	5.93824e-05
chrI	18525001	18600000	24	3.59215e-05
chrI	18600001	18675000	15	2.09721e-05
chrI	18675001	18750000	23	2.20537e-05
chrI	18750001	18825000	20	1.52407e-05
chrI	18825001	18900000	32	4.22228e-05
chrI	18900001	18975000	33	6.53303e-05
chrI	18975001	19050000	26	5.10848e-05
chrI	19050001	19125000	27	2.52127e-05
chrI	19125001	19200000	3	1.30012e-06
chrI	19200001	19275000	9	9.67131e-06
chrI	19275001	19350000	22	3.4796e-05
chrI	19350001	19425000	14	2.40668e-05
chrI	19425001	19500000	28	2.65491e-05
chrI	19500001	19575000	14	2.81838e-05
chrI	19575001	19650000	13	9.50301e-06
chrI	19650001	19725000	17	1.63365e-05
chrI	19725001	19800000	12	3.02244e-05
chrI	19800001	19875000	23	2.5437e-05
chrI	19875001	19950000	51	7.28028e-05
chrI	19950001	20025000	13	2.40129e-05
chrI	20025001	20100000	17	2.48998e-05
chrI	20100001	20175000	11	7.68626e-06
chrI	20175001	20250000	40	7.5504e-05
