"chr" "pos1" "pos2" "gene_pos1" "gene_pos2" "fst_outlier_adj" "gene" "bias_direction" "bias_amount" "bias_sig" "study"
1 1 74999 2098 9910 FALSE "ENSGACG00000004395" "F" -0.133 FALSE "leder2015"
1 1 74999 18791 22890 FALSE "ENSGACG00000004403" NA NA NA NA
1 1 74999 36880 38991 FALSE "ENSGACG00000004405" NA NA NA NA
1 1 74999 42006 46064 FALSE "ENSGACG00000004408" "M" 0.309 TRUE "leder2015"
1 1 74999 65279 68049 FALSE "ENSGACG00000004413" "M" 0.304 TRUE "leder2015"
1 1 74999 69460 74548 FALSE "ENSGACG00000004417" "F" -0.089 FALSE "leder2015"
1 1 74999 69474 74583 FALSE "ENSGACG00000004417" "F" -0.089 FALSE "leder2015"
1 75001 149999 77722 105198 FALSE "ENSGACG00000004438" "F" -0.046 FALSE "leder2015"
1 75001 149999 117583 141390 FALSE "ENSGACG00000004458" NA NA NA NA
1 75001 149999 131416 140761 FALSE "ENSGACG00000004458" NA NA NA NA
1 150001 224999 150455 155372 FALSE "ENSGACG00000004479" NA NA NA NA
1 150001 224999 153069 155289 FALSE "ENSGACG00000004479" NA NA NA NA
1 150001 224999 153165 155401 FALSE "ENSGACG00000004479" NA NA NA NA
1 150001 224999 169269 179484 FALSE "ENSGACG00000004487" NA NA NA NA
1 150001 224999 184803 198423 FALSE "ENSGACG00000004499" NA NA NA NA
1 150001 224999 199995 206656 FALSE "ENSGACG00000004504" "F" -0.088 TRUE "leder2015"
1 150001 224999 200000 206664 FALSE "ENSGACG00000004504" "F" -0.088 TRUE "leder2015"
1 150001 224999 200012 206700 FALSE "ENSGACG00000004504" "F" -0.088 TRUE "leder2015"
1 150001 224999 208356 211604 FALSE "ENSGACG00000004524" "F" -0.052 FALSE "leder2015"
1 150001 224999 217115 219753 FALSE "ENSGACG00000004531" "M" 0.188 FALSE "leder2015"
1 150001 224999 221929 222979 FALSE "ENSGACG00000004535" "M" 0.042 FALSE "leder2015"
1 225001 299999 229192 236145 FALSE "ENSGACG00000004539" "F" -0.021 FALSE "leder2015"
1 225001 299999 229195 236148 FALSE "ENSGACG00000004539" "F" -0.021 FALSE "leder2015"
1 225001 299999 244666 253839 FALSE "ENSGACG00000004570" NA NA NA NA
1 225001 299999 257080 258329 FALSE "ENSGACG00000004589" NA NA NA NA
1 225001 299999 278700 280024 FALSE "ENSGACG00000004599" NA NA NA NA
1 225001 299999 295708 297034 FALSE "ENSGACG00000004603" NA NA NA NA
1 225001 299999 295708 296794 FALSE "ENSGACG00000004603" NA NA NA NA
1 300001 374999 313269 314198 FALSE "ENSGACG00000004606" NA NA NA NA
1 300001 374999 317672 318592 FALSE "ENSGACG00000004608" NA NA NA NA
1 300001 374999 323141 324782 FALSE "ENSGACG00000004611" NA NA NA NA
1 300001 374999 335191 338492 FALSE "ENSGACG00000004612" NA NA NA NA
1 300001 374999 356280 359332 FALSE "ENSGACG00000004619" "M" 0.06 FALSE "leder2015"
1 300001 374999 356909 358285 FALSE "ENSGACG00000004619" "M" 0.06 FALSE "leder2015"
1 300001 374999 363799 365223 FALSE "ENSGACG00000004628" NA NA NA NA
1 300001 374999 369110 371418 FALSE "ENSGACG00000004631" NA NA NA NA
1 300001 374999 372834 374001 FALSE "ENSGACG00000004636" NA NA NA NA
1 375001 449999 380274 381945 FALSE "ENSGACG00000004639" "F" -0.046 FALSE "leder2015"
1 375001 449999 382188 383538 FALSE "ENSGACG00000004650" NA NA NA NA
1 375001 449999 384897 395887 FALSE "ENSGACG00000004656" "F" -0.22 FALSE "leder2015"
1 375001 449999 384897 395878 FALSE "ENSGACG00000004656" "F" -0.22 FALSE "leder2015"
1 375001 449999 399228 409825 FALSE "ENSGACG00000004682" NA NA NA NA
1 375001 449999 422752 424954 FALSE "ENSGACG00000004699" "F" -0.684 TRUE "leder2015"
1 375001 449999 422752 424954 FALSE "ENSGACG00000004699" "M" -1.3 FALSE "viitaniemi2011"
1 375001 449999 427703 435209 FALSE "ENSGACG00000004711" "M" 0.141 FALSE "leder2015"
1 375001 449999 436490 448294 FALSE "ENSGACG00000004718" NA NA NA NA
1 375001 449999 449187 449973 FALSE "ENSGACG00000004728" NA NA NA NA
1 600001 674999 620253 626394 FALSE "ENSGACG00000004907" NA NA NA NA
1 600001 674999 628832 630104 FALSE "ENSGACG00000004916" "F" -0.144 FALSE "leder2015"
1 600001 674999 638917 644877 FALSE "ENSGACG00000004919" NA NA NA NA
1 675001 749999 696149 703429 FALSE "ENSGACG00000004922" NA NA NA NA
1 675001 749999 706654 708059 FALSE "ENSGACG00000004927" "M" 0.097 FALSE "leder2015"
1 675001 749999 725635 725859 FALSE "ENSGACG00000004929" "M" 0.036 FALSE "leder2015"
1 675001 749999 726932 740059 FALSE "ENSGACG00000004934" NA NA NA NA
1 675001 749999 726932 740276 FALSE "ENSGACG00000004934" NA NA NA NA
1 675001 749999 746199 747195 FALSE "ENSGACG00000004963" "F" -0.308 TRUE "leder2015"
1 750001 824999 785833 786012 FALSE "ENSGACG00000004992" "M" 0.03 FALSE "leder2015"
1 750001 824999 790618 796261 FALSE "ENSGACG00000004996" NA NA NA NA
1 750001 824999 798707 805841 FALSE "ENSGACG00000005004" "M" 0.144 FALSE "leder2015"
1 750001 824999 807405 813257 FALSE "ENSGACG00000005026" "M" 0.426 FALSE "leder2015"
1 750001 824999 814526 818691 FALSE "ENSGACG00000005038" "M" 0.122 FALSE "leder2015"
1 825001 899999 825335 835930 FALSE "ENSGACG00000005047" NA NA NA NA
1 825001 899999 845685 849887 FALSE "ENSGACG00000005051" "F" -0.081 FALSE "leder2015"
1 825001 899999 847507 851086 FALSE "ENSGACG00000005051" "F" -0.081 FALSE "leder2015"
1 825001 899999 853151 864471 FALSE "ENSGACG00000005067" NA NA NA NA
1 825001 899999 871940 888334 FALSE "ENSGACG00000005083" "M" 0.754 TRUE "leder2015"
1 825001 899999 871940 888334 FALSE "ENSGACG00000005083" "M" -2.2 FALSE "viitaniemi2011"
1 825001 899999 871978 888344 FALSE "ENSGACG00000005083" "M" 0.754 TRUE "leder2015"
1 825001 899999 871978 888344 FALSE "ENSGACG00000005083" "M" -2.2 FALSE "viitaniemi2011"
1 900001 974999 903985 905957 FALSE "ENSGACG00000005145" "M" 0.052 FALSE "leder2015"
1 900001 974999 906629 913276 FALSE "ENSGACG00000005148" "F" -0.058 FALSE "leder2015"
1 900001 974999 913769 925638 FALSE "ENSGACG00000005161" "F" -0.012 FALSE "leder2015"
1 900001 974999 931955 937054 FALSE "ENSGACG00000005173" "M" 0.01 FALSE "leder2015"
1 900001 974999 940637 945583 FALSE "ENSGACG00000005183" "M" 0.078 FALSE "leder2015"
1 975001 1049999 992281 1011125 FALSE "ENSGACG00000005228" "F" 1.2 TRUE "leder2010"
1 975001 1049999 992281 1011125 FALSE "ENSGACG00000005228" "F" 1.2 TRUE "leder2010"
1 975001 1049999 992281 1011125 FALSE "ENSGACG00000005228" "F" -0.736 TRUE "leder2015"
1 975001 1049999 992548 1011083 FALSE "ENSGACG00000005228" "F" 1.2 TRUE "leder2010"
1 975001 1049999 992548 1011083 FALSE "ENSGACG00000005228" "F" 1.2 TRUE "leder2010"
1 975001 1049999 992548 1011083 FALSE "ENSGACG00000005228" "F" -0.736 TRUE "leder2015"
1 975001 1049999 1021760 1022588 FALSE "ENSGACG00000005256" NA NA NA NA
1 975001 1049999 1034819 1038608 FALSE "ENSGACG00000005257" NA NA NA NA
1 1050001 1124999 1053880 1057246 FALSE "ENSGACG00000005259" NA NA NA NA
1 1050001 1124999 1076088 1085084 FALSE "ENSGACG00000005271" NA NA NA NA
1 1125001 1199999 1175505 1181937 FALSE "ENSGACG00000005285" NA NA NA NA
1 1125001 1199999 1184288 1184688 FALSE "ENSGACG00000005299" "F" -0.077 FALSE "leder2015"
1 1125001 1199999 1185206 1186192 FALSE "ENSGACG00000005302" "M" 0.09 FALSE "leder2015"
1 1125001 1199999 1187874 1192146 FALSE "ENSGACG00000005321" "M" 0 FALSE "leder2015"
1 1200001 1274999 1234077 1236094 FALSE "ENSGACG00000005337" "F" -0.208 TRUE "leder2015"
1 1200001 1274999 1234238 1236193 FALSE "ENSGACG00000005337" "F" -0.208 TRUE "leder2015"
1 1200001 1274999 1234245 1235949 FALSE "ENSGACG00000005337" "F" -0.208 TRUE "leder2015"
1 1200001 1274999 1236297 1242154 FALSE "ENSGACG00000005362" "F" -0.063 FALSE "leder2015"
1 1200001 1274999 1242776 1244224 FALSE "ENSGACG00000005366" "M" 0.078 FALSE "leder2015"
1 1200001 1274999 1243163 1245714 FALSE "ENSGACG00000005366" "M" 0.078 FALSE "leder2015"
1 1200001 1274999 1260571 1274267 FALSE "ENSGACG00000005375" "M" 0.163 FALSE "leder2015"
1 1275001 1349999 1276013 1277115 FALSE "ENSGACG00000005381" "F" -0.095 FALSE "leder2015"
1 1275001 1349999 1279295 1281935 FALSE "ENSGACG00000005384" "M" 0.134 FALSE "leder2015"
1 1275001 1349999 1279326 1282121 FALSE "ENSGACG00000005384" "M" 0.134 FALSE "leder2015"
1 1275001 1349999 1282804 1288222 FALSE "ENSGACG00000005396" "F" 2 TRUE "leder2010"
1 1275001 1349999 1282804 1288222 FALSE "ENSGACG00000005396" "F" -0.078 FALSE "leder2015"
1 1275001 1349999 1290624 1310251 FALSE "ENSGACG00000005426" NA NA NA NA
1 1275001 1349999 1315175 1318264 FALSE "ENSGACG00000005430" NA NA NA NA
1 1275001 1349999 1321632 1328761 FALSE "ENSGACG00000005434" "M" 0.098 FALSE "leder2015"
1 1350001 1424999 1352913 1364832 FALSE "ENSGACG00000005438" "M" 0.352 TRUE "leder2015"
1 1350001 1424999 1369446 1383127 FALSE "ENSGACG00000005457" NA NA NA NA
1 1350001 1424999 1385915 1393764 FALSE "ENSGACG00000005469" "M" 0.355 TRUE "leder2015"
1 1350001 1424999 1386220 1393772 FALSE "ENSGACG00000005469" "M" 0.355 TRUE "leder2015"
1 1350001 1424999 1387301 1393786 FALSE "ENSGACG00000005469" "M" 0.355 TRUE "leder2015"
1 1350001 1424999 1394892 1400891 FALSE "ENSGACG00000005511" "M" 0.094 FALSE "leder2015"
1 1350001 1424999 1395381 1401575 FALSE "ENSGACG00000005511" "M" 0.094 FALSE "leder2015"
1 1425001 1499999 1465781 1465859 FALSE "ENSGACG00000022513" NA NA NA NA
1 1500001 1574999 1508261 1535124 FALSE "ENSGACG00000005540" NA NA NA NA
1 1500001 1574999 1545588 1554821 FALSE "ENSGACG00000005551" "F" -0.093 FALSE "leder2015"
1 1500001 1574999 1560251 1568736 FALSE "ENSGACG00000005559" NA NA NA NA
1 1650001 1724999 NA NA FALSE NA NA NA NA NA
1 1725001 1799999 1730484 1731398 FALSE "ENSGACG00000005595" "M" 0.001 FALSE "leder2015"
1 1725001 1799999 1751568 1753282 FALSE "ENSGACG00000005598" "M" 1.5 TRUE "leder2010"
1 1725001 1799999 1751568 1753282 FALSE "ENSGACG00000005598" "M" 0.934 TRUE "leder2015"
1 1725001 1799999 1751568 1753282 FALSE "ENSGACG00000005598" "M" -1.1 FALSE "viitaniemi2011"
1 1725001 1799999 1755126 1762297 FALSE "ENSGACG00000005621" "M" 0.005 FALSE "leder2015"
1 1725001 1799999 1762413 1764918 FALSE "ENSGACG00000005634" "F" 1.2 TRUE "leder2010"
1 1725001 1799999 1762413 1764918 FALSE "ENSGACG00000005634" "F" -0.079 FALSE "leder2015"
1 1800001 1874999 1811639 1812559 FALSE "ENSGACG00000005639" NA NA NA NA
1 1800001 1874999 1835798 1849578 FALSE "ENSGACG00000005645" "M" 0.035 FALSE "leder2015"
1 1800001 1874999 1855721 1863275 FALSE "ENSGACG00000005662" NA NA NA NA
1 1800001 1874999 1867246 1873432 FALSE "ENSGACG00000005680" NA NA NA NA
1 1875001 1949999 1875460 1882519 FALSE "ENSGACG00000005684" NA NA NA NA
1 1875001 1949999 1885131 1888093 FALSE "ENSGACG00000005715" NA NA NA NA
1 1875001 1949999 1888453 1889296 FALSE "ENSGACG00000005721" "M" 0.404 TRUE "leder2015"
1 1875001 1949999 1890918 1895272 FALSE "ENSGACG00000005725" "F" 2 TRUE "leder2010"
1 1875001 1949999 1890918 1895272 FALSE "ENSGACG00000005725" "F" -0.163 FALSE "leder2015"
1 1875001 1949999 1899975 1907740 FALSE "ENSGACG00000005732" NA NA NA NA
1 1875001 1949999 1903058 1907056 FALSE "ENSGACG00000005732" NA NA NA NA
1 1875001 1949999 1912692 1913706 FALSE "ENSGACG00000005744" "F" -0.029 FALSE "leder2015"
1 1875001 1949999 1919945 1923826 FALSE "ENSGACG00000005747" "F" -0.029 FALSE "leder2015"
1 1875001 1949999 1919954 1923598 FALSE "ENSGACG00000005747" "F" -0.029 FALSE "leder2015"
1 1875001 1949999 1924903 1926389 FALSE "ENSGACG00000005762" "F" -0.07 FALSE "leder2015"
1 1950001 2024999 1964741 1970521 FALSE "ENSGACG00000005766" "F" 1.5 TRUE "leder2010"
1 1950001 2024999 1964741 1970521 FALSE "ENSGACG00000005766" "F" -0.423 TRUE "leder2015"
1 1950001 2024999 1971192 1973857 FALSE "ENSGACG00000005779" "M" 0.055 FALSE "leder2015"
1 1950001 2024999 1988336 1991038 FALSE "ENSGACG00000005793" NA NA NA NA
1 1950001 2024999 2001693 2004597 FALSE "ENSGACG00000005807" "F" -0.23 FALSE "leder2015"
1 1950001 2024999 2001734 2004602 FALSE "ENSGACG00000005807" "F" -0.23 FALSE "leder2015"
1 1950001 2024999 2004856 2007949 FALSE "ENSGACG00000005815" NA NA NA NA
1 1950001 2024999 2009479 2010527 FALSE "ENSGACG00000005818" NA NA NA NA
1 1950001 2024999 2013835 2018817 FALSE "ENSGACG00000005820" "F" -0.016 FALSE "leder2015"
1 2025001 2099999 2031473 2034226 FALSE "ENSGACG00000005834" NA NA NA NA
1 2025001 2099999 2041834 2047281 FALSE "ENSGACG00000005843" "F" -0.076 FALSE "leder2015"
1 2025001 2099999 2042189 2047275 FALSE "ENSGACG00000005843" "F" -0.076 FALSE "leder2015"
1 2025001 2099999 2075764 2085083 FALSE "ENSGACG00000005869" NA NA NA NA
1 2025001 2099999 2096706 2098851 FALSE "ENSGACG00000005876" NA NA NA NA
1 2100001 2174999 2110211 2128414 FALSE "ENSGACG00000005880" NA NA NA NA
1 2100001 2174999 2139386 2140819 FALSE "ENSGACG00000005890" NA NA NA NA
1 2100001 2174999 2149070 2156200 FALSE "ENSGACG00000005892" "M" 0.445 FALSE "leder2015"
1 2100001 2174999 2149070 2154833 FALSE "ENSGACG00000005892" "M" 0.445 FALSE "leder2015"
1 2100001 2174999 2149474 2155380 FALSE "ENSGACG00000005892" "M" 0.445 FALSE "leder2015"
1 2100001 2174999 2149477 2155371 FALSE "ENSGACG00000005892" "M" 0.445 FALSE "leder2015"
1 2100001 2174999 2156320 2161808 FALSE "ENSGACG00000005918" "M" 0.086 FALSE "leder2015"
1 2100001 2174999 2161683 2166868 FALSE "ENSGACG00000005929" "M" 0.506 TRUE "leder2015"
1 2100001 2174999 2161757 2166771 FALSE "ENSGACG00000005929" "M" 0.506 TRUE "leder2015"
1 2100001 2174999 2167369 2171903 FALSE "ENSGACG00000005955" "M" 0.108 FALSE "leder2015"
1 2100001 2174999 2172113 2173949 FALSE "ENSGACG00000005962" "M" 0.032 FALSE "leder2015"
1 2175001 2249999 2175787 2179394 FALSE "ENSGACG00000005965" NA NA NA NA
1 2175001 2249999 2175794 2179611 FALSE "ENSGACG00000005965" NA NA NA NA
1 2175001 2249999 2176263 2179319 FALSE "ENSGACG00000005965" NA NA NA NA
1 2175001 2249999 2180844 2181239 FALSE "ENSGACG00000005984" NA NA NA NA
1 2175001 2249999 2189867 2195227 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189867 2195227 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189867 2195227 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189867 2195227 FALSE "ENSGACG00000005985" "M" 0.779 TRUE "leder2015"
1 2175001 2249999 2189891 2195239 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189891 2195239 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189891 2195239 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189891 2195239 FALSE "ENSGACG00000005985" "M" 0.779 TRUE "leder2015"
1 2175001 2249999 2189913 2195389 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189913 2195389 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189913 2195389 FALSE "ENSGACG00000005985" "M" 1.5 TRUE "leder2010"
1 2175001 2249999 2189913 2195389 FALSE "ENSGACG00000005985" "M" 0.779 TRUE "leder2015"
1 2175001 2249999 2197855 2203483 FALSE "ENSGACG00000006013" "M" 0.035 FALSE "leder2015"
1 2175001 2249999 2206772 2213401 FALSE "ENSGACG00000006022" NA NA NA NA
1 2175001 2249999 2218130 2219616 FALSE "ENSGACG00000006034" "M" 0.426 TRUE "leder2015"
1 2175001 2249999 2218130 2219616 FALSE "ENSGACG00000006034" "M" -1.2 FALSE "viitaniemi2011"
1 2175001 2249999 2218464 2220146 FALSE "ENSGACG00000006034" "M" 0.426 TRUE "leder2015"
1 2175001 2249999 2218464 2220146 FALSE "ENSGACG00000006034" "M" -1.2 FALSE "viitaniemi2011"
1 2175001 2249999 2225187 2236863 FALSE "ENSGACG00000006068" "M" 0.107 FALSE "leder2015"
1 2175001 2249999 2225187 2236863 FALSE "ENSGACG00000006068" "M" 0.223 FALSE "leder2015"
1 2175001 2249999 2225190 2226884 FALSE "ENSGACG00000006068" "M" 0.107 FALSE "leder2015"
1 2175001 2249999 2225190 2226884 FALSE "ENSGACG00000006068" "M" 0.223 FALSE "leder2015"
1 2175001 2249999 2237067 2245543 FALSE "ENSGACG00000006079" "M" 0.263 TRUE "leder2015"
1 2175001 2249999 2237427 2245477 FALSE "ENSGACG00000006079" "M" 0.263 TRUE "leder2015"
1 2250001 2324999 2271244 2274912 FALSE "ENSGACG00000006128" NA NA NA NA
1 2250001 2324999 2277256 2278122 FALSE "ENSGACG00000006132" NA NA NA NA
1 2250001 2324999 2281697 2283639 FALSE "ENSGACG00000006136" NA NA NA NA
1 2250001 2324999 2293356 2295366 FALSE "ENSGACG00000006137" "F" -0.331 FALSE "leder2015"
1 2250001 2324999 2301708 2308184 FALSE "ENSGACG00000006140" "M" 0.094 FALSE "leder2015"
1 2250001 2324999 2312717 2319364 FALSE "ENSGACG00000006145" NA NA NA NA
1 2250001 2324999 2319386 2323033 FALSE "ENSGACG00000006148" NA NA NA NA
1 2325001 2399999 2330169 2365007 FALSE "ENSGACG00000006150" NA NA NA NA
1 2400001 2474999 NA NA FALSE NA NA NA NA NA
1 2475001 2549999 NA NA FALSE NA NA NA NA NA
1 2550001 2624999 NA NA FALSE NA NA NA NA NA
1 2625001 2699999 2636733 2646924 FALSE "ENSGACG00000006157" NA NA NA NA
1 2625001 2699999 2698988 2699903 FALSE "ENSGACG00000006160" "M" 0.663 FALSE "leder2015"
1 2700001 2774999 2703457 2704480 FALSE "ENSGACG00000006164" "M" 0.718 TRUE "leder2015"
1 2700001 2774999 2707721 2711676 FALSE "ENSGACG00000006166" "M" 0.452 TRUE "leder2015"
1 2700001 2774999 2714136 2716792 FALSE "ENSGACG00000006174" "F" -0.203 TRUE "leder2015"
1 2700001 2774999 2717130 2718198 FALSE "ENSGACG00000006179" "F" -0.372 TRUE "leder2015"
1 2700001 2774999 2735505 2755528 FALSE "ENSGACG00000006182" NA NA NA NA
1 2775001 2849999 2782049 2790640 FALSE "ENSGACG00000006192" NA NA NA NA
1 2775001 2849999 2798666 2813258 FALSE "ENSGACG00000006201" "M" 0.034 FALSE "leder2015"
1 2775001 2849999 2798717 2813268 FALSE "ENSGACG00000006201" "M" 0.034 FALSE "leder2015"
1 2775001 2849999 2824077 2830150 FALSE "ENSGACG00000006227" NA NA NA NA
1 2850001 2924999 2884055 2895498 FALSE "ENSGACG00000006236" "M" 0.215 FALSE "leder2015"
1 2925001 2999999 2954358 2967016 FALSE "ENSGACG00000006254" NA NA NA NA
1 2925001 2999999 2955622 2966988 FALSE "ENSGACG00000006254" NA NA NA NA
1 2925001 2999999 2988172 2992797 FALSE "ENSGACG00000006274" NA NA NA NA
1 2925001 2999999 2995003 2999589 FALSE "ENSGACG00000006282" NA NA NA NA
1 3000001 3074999 3022738 3023274 FALSE "ENSGACG00000006290" NA NA NA NA
1 3000001 3074999 3028512 3031032 FALSE "ENSGACG00000006291" NA NA NA NA
1 3000001 3074999 3032666 3033857 FALSE "ENSGACG00000006292" NA NA NA NA
1 3000001 3074999 3039163 3045850 FALSE "ENSGACG00000006296" "M" 0.146 FALSE "leder2015"
1 3000001 3074999 3047218 3052489 FALSE "ENSGACG00000006300" "F" -0.139 FALSE "leder2015"
1 3000001 3074999 3048277 3052489 FALSE "ENSGACG00000006300" "F" -0.139 FALSE "leder2015"
1 3000001 3074999 3056578 3059895 FALSE "ENSGACG00000006316" "F" -0.133 FALSE "leder2015"
1 3000001 3074999 3060604 3065797 FALSE "ENSGACG00000006321" NA NA NA NA
1 3000001 3074999 3060604 3064668 FALSE "ENSGACG00000006321" NA NA NA NA
1 3000001 3074999 3060604 3064565 FALSE "ENSGACG00000006321" NA NA NA NA
1 3000001 3074999 3060604 3064565 FALSE "ENSGACG00000006321" NA NA NA NA
1 3075001 3149999 3080902 3085530 FALSE "ENSGACG00000006331" NA NA NA NA
1 3075001 3149999 3080910 3085572 FALSE "ENSGACG00000006331" NA NA NA NA
1 3075001 3149999 3086853 3088913 FALSE "ENSGACG00000006344" "F" -0.128 FALSE "leder2015"
1 3075001 3149999 3091076 3108409 FALSE "ENSGACG00000006348" "M" 0.079 FALSE "leder2015"
1 3075001 3149999 3091091 3108367 FALSE "ENSGACG00000006348" "M" 0.079 FALSE "leder2015"
1 3075001 3149999 3124210 3127693 FALSE "ENSGACG00000006375" "M" 0.41 TRUE "leder2015"
1 3075001 3149999 3129406 3136785 FALSE "ENSGACG00000006407" NA NA NA NA
1 3075001 3149999 3145697 3149203 FALSE "ENSGACG00000006415" "M" 0.05 FALSE "leder2015"
1 3150001 3224999 3154035 3156749 FALSE "ENSGACG00000006419" NA NA NA NA
1 3150001 3224999 3163025 3169107 FALSE "ENSGACG00000006463" NA NA NA NA
1 3150001 3224999 3175899 3178064 FALSE "ENSGACG00000006467" "M" 0.018 FALSE "leder2015"
1 3150001 3224999 3178684 3180094 FALSE "ENSGACG00000006469" "M" 0.011 FALSE "leder2015"
1 3150001 3224999 3185346 3192141 FALSE "ENSGACG00000006472" "F" -0.011 FALSE "leder2015"
1 3225001 3299999 NA NA FALSE NA NA NA NA NA
1 3300001 3374999 3303968 3318945 FALSE "ENSGACG00000006486" "M" 0.157 FALSE "leder2015"
1 3300001 3374999 3325760 3330237 FALSE "ENSGACG00000006518" NA NA NA NA
1 3300001 3374999 3325883 3330237 FALSE "ENSGACG00000006518" NA NA NA NA
