CHROM	BIN_START	BIN_END	N_VARIANTS	PI
chrI	1	75000	52	3.60314e-05
chrI	75001	150000	54	3.6094e-05
chrI	150001	225000	49	4.40554e-05
chrI	225001	300000	32	6.30318e-05
chrI	300001	375000	80	6.30386e-05
chrI	375001	450000	38	2.98516e-05
chrI	450001	525000	13	9.0108e-06
chrI	600001	675000	50	1.24651e-05
chrI	675001	750000	16	1.63507e-05
chrI	750001	825000	21	3.35524e-05
chrI	825001	900000	69	9.1636e-05
chrI	900001	975000	40	3.96919e-05
chrI	975001	1050000	26	1.37745e-05
chrI	1050001	1125000	30	1.86543e-05
chrI	1125001	1200000	53	7.81082e-05
chrI	1200001	1275000	26	1.63295e-05
chrI	1275001	1350000	49	4.48007e-05
chrI	1350001	1425000	41	2.36127e-05
chrI	1425001	1500000	60	7.70806e-05
chrI	1500001	1575000	33	5.48904e-05
chrI	1575001	1650000	16	9.52441e-06
chrI	1650001	1725000	48	2.88213e-05
chrI	1725001	1800000	34	2.95903e-05
chrI	1800001	1875000	66	8.11349e-05
chrI	1875001	1950000	29	1.7956e-05
chrI	1950001	2025000	40	4.95609e-05
chrI	2025001	2100000	14	6.99753e-06
chrI	2100001	2175000	40	3.06327e-05
chrI	2175001	2250000	31	2.4753e-05
chrI	2250001	2325000	34	1.9168e-05
chrI	2325001	2400000	49	3.22118e-05
chrI	2400001	2475000	38	3.25247e-05
chrI	2475001	2550000	63	5.02656e-05
chrI	2550001	2625000	36	5.41081e-05
chrI	2625001	2700000	41	4.53723e-05
chrI	2700001	2775000	51	6.15501e-05
chrI	2775001	2850000	33	4.55369e-05
chrI	2850001	2925000	52	6.3323e-05
chrI	2925001	3000000	55	3.69461e-05
chrI	3000001	3075000	40	4.63009e-05
chrI	3075001	3150000	67	6.25005e-05
chrI	3150001	3225000	70	0.000105119
chrI	3225001	3300000	19	2.26822e-05
chrI	3300001	3375000	31	1.9351e-05
chrI	3375001	3450000	35	3.0557e-05
chrI	3450001	3525000	22	1.82488e-05
chrI	3525001	3600000	26	1.87327e-05
chrI	3600001	3675000	22	4.56221e-05
chrI	3675001	3750000	63	6.11672e-05
chrI	3750001	3825000	19	2.74155e-05
chrI	3825001	3900000	22	3.21062e-05
chrI	3900001	3975000	40	4.05926e-05
chrI	3975001	4050000	30	2.43884e-05
chrI	4050001	4125000	30	3.43822e-05
chrI	4125001	4200000	31	1.57925e-05
chrI	4200001	4275000	48	3.75156e-05
chrI	4275001	4350000	43	6.54442e-05
chrI	4350001	4425000	68	9.83104e-05
chrI	4425001	4500000	78	6.76329e-05
chrI	4500001	4575000	47	2.02547e-05
chrI	4575001	4650000	65	5.60557e-05
chrI	4650001	4725000	29	2.25338e-05
chrI	4725001	4800000	59	8.42248e-05
chrI	4800001	4875000	17	9.01712e-06
chrI	4875001	4950000	22	3.43151e-05
chrI	4950001	5025000	24	4.66101e-05
chrI	5025001	5100000	24	3.24953e-05
chrI	5100001	5175000	17	6.08526e-06
chrI	5175001	5250000	38	2.36555e-05
chrI	5250001	5325000	41	1.99429e-05
chrI	5325001	5400000	16	4.57671e-06
chrI	5400001	5475000	31	1.24996e-05
chrI	5475001	5550000	57	3.7456e-05
chrI	5550001	5625000	22	2.96955e-05
chrI	5625001	5700000	5	6.16827e-06
chrI	5700001	5775000	23	2.21865e-05
chrI	5775001	5850000	19	1.83545e-05
chrI	5850001	5925000	37	3.08287e-05
chrI	5925001	6000000	42	4.07417e-05
chrI	6000001	6075000	43	5.58823e-05
chrI	6075001	6150000	25	2.10469e-05
chrI	6150001	6225000	84	5.78318e-05
chrI	6225001	6300000	33	2.79124e-05
chrI	6300001	6375000	41	1.35866e-05
chrI	6375001	6450000	52	4.38731e-05
chrI	6450001	6525000	50	3.59135e-05
chrI	6525001	6600000	65	5.27188e-05
chrI	6600001	6675000	39	1.66507e-05
chrI	6675001	6750000	38	3.09736e-05
chrI	6750001	6825000	25	2.45129e-05
chrI	6825001	6900000	34	1.76576e-05
chrI	6900001	6975000	55	5.55875e-05
chrI	6975001	7050000	26	2.06513e-05
chrI	7050001	7125000	19	1.13458e-05
chrI	7125001	7200000	31	1.89468e-05
chrI	7200001	7275000	18	1.12876e-05
chrI	7275001	7350000	60	4.73745e-05
chrI	7350001	7425000	28	3.16656e-05
chrI	7425001	7500000	45	5.7806e-05
chrI	7500001	7575000	45	2.2392e-05
chrI	7575001	7650000	25	1.89709e-05
chrI	7650001	7725000	35	3.4925e-05
chrI	7725001	7800000	38	2.21458e-05
chrI	7800001	7875000	31	1.9268e-05
chrI	7875001	7950000	23	2.48863e-05
chrI	7950001	8025000	103	0.000162717
chrI	8025001	8100000	53	2.46682e-05
chrI	8100001	8175000	11	2.07551e-06
chrI	8175001	8250000	17	5.57624e-06
chrI	8250001	8325000	49	3.71597e-05
chrI	8325001	8400000	16	1.50002e-05
chrI	8400001	8475000	47	4.25259e-05
chrI	8475001	8550000	26	1.6425e-05
chrI	8550001	8625000	46	2.33787e-05
chrI	8625001	8700000	30	2.4812e-05
chrI	8700001	8775000	23	1.8987e-05
chrI	8775001	8850000	44	2.61018e-05
chrI	8850001	8925000	35	2.1342e-05
chrI	8925001	9000000	41	1.53432e-05
chrI	9000001	9075000	9	4.36738e-06
chrI	9075001	9150000	38	1.33376e-05
chrI	9150001	9225000	7	6.74612e-07
chrI	9225001	9300000	9	3.86907e-06
chrI	9300001	9375000	19	2.42788e-05
chrI	9375001	9450000	43	4.10584e-05
chrI	9450001	9525000	12	2.36315e-06
chrI	9525001	9600000	35	1.78232e-05
chrI	9600001	9675000	23	1.86915e-05
chrI	9675001	9750000	29	2.42297e-05
chrI	9750001	9825000	22	8.73123e-06
chrI	9825001	9900000	24	8.97071e-06
chrI	9900001	9975000	21	8.34383e-06
chrI	9975001	10050000	45	4.73824e-05
chrI	10050001	10125000	18	2.0455e-05
chrI	10125001	10200000	24	6.57456e-06
chrI	10200001	10275000	22	1.14536e-05
chrI	10275001	10350000	34	1.02595e-05
chrI	10350001	10425000	30	4.72935e-06
chrI	10425001	10500000	11	1.87108e-06
chrI	10500001	10575000	19	1.58433e-05
chrI	10575001	10650000	27	1.03041e-05
chrI	10650001	10725000	47	3.46755e-05
chrI	10725001	10800000	17	1.27896e-05
chrI	10800001	10875000	18	7.38556e-06
chrI	10875001	10950000	16	6.74094e-06
chrI	10950001	11025000	28	2.19771e-05
chrI	11025001	11100000	17	6.96944e-06
chrI	11100001	11175000	8	1.06787e-06
chrI	11175001	11250000	28	8.13861e-06
chrI	11250001	11325000	19	8.06251e-06
chrI	11325001	11400000	8	3.62789e-06
chrI	11400001	11475000	31	1.11785e-05
chrI	11475001	11550000	29	2.30839e-05
chrI	11550001	11625000	41	2.19855e-05
chrI	11625001	11700000	49	3.38019e-05
